circuit_id,family,source_file,source_sha256,logical_width,logical_depth,logical_ops,logical_two_qubit_ops,source_status,source_error,screening_status,screening_reason
ae::ae_indep_qiskit_2,ae,data/quantum_circuits/ae_indep_qiskit_2.qasm,de56c0798eca25bd1510d4d10f11e996f0bad2a11ce94a265da0635c161cbcae,2,6,10,2,ok,,eligible,
ae::ae_indep_qiskit_3,ae,data/quantum_circuits/ae_indep_qiskit_3.qasm,6b2f9fea850557b40ca9b69341ec300b1c4fe1f4bf53e94436af2ba1586bac62,3,12,18,5,ok,,eligible,
ae::ae_indep_qiskit_4,ae,data/quantum_circuits/ae_indep_qiskit_4.qasm,9b4261e2d98678946a9aefea16ba9b8abcae8409f8589f8fb3daa941694f88c6,4,18,27,9,ok,,eligible,
ae::ae_indep_qiskit_5,ae,data/quantum_circuits/ae_indep_qiskit_5.qasm,8e4821df72704634cb81ea4d738477a8d596a49cba641e6198fdc9970e1d5d2f,5,24,37,14,ok,,eligible,
ae::ae_indep_qiskit_6,ae,data/quantum_circuits/ae_indep_qiskit_6.qasm,585424315575b559a664523f6ce6236189739069b3872eea4ccdb995a29f8701,6,30,48,20,ok,,eligible,
ae::ae_indep_qiskit_7,ae,data/quantum_circuits/ae_indep_qiskit_7.qasm,a70c5b796698f145c5992d324b3a0b5e28eb7301e6f306652a316a55c68f1ae8,7,36,60,27,ok,,eligible,
ae::ae_indep_qiskit_8,ae,data/quantum_circuits/ae_indep_qiskit_8.qasm,78d3420407751ab52a65abe926510d585ebd3a5d1934ac31c13b28eca5c5ee8a,8,42,73,35,ok,,eligible,
ae::ae_indep_qiskit_9,ae,data/quantum_circuits/ae_indep_qiskit_9.qasm,78ecec267502f433ab148452979221600becf679520b50ad454009e0ca097af5,9,48,87,44,ok,,eligible,
dj::dj_indep_qiskit_2,dj,data/quantum_circuits/dj_indep_qiskit_2.qasm,242786b0f7d73c715a317cbdc0725596836f08d98ecd6eb06b3b4ac4f3f563fb,2,4,6,1,ok,,eligible,
dj::dj_indep_qiskit_3,dj,data/quantum_circuits/dj_indep_qiskit_3.qasm,bc8cb33a3a242fb3ab35191a36313674faaca8fe1839cfa05d79788052424d1d,3,5,10,2,ok,,eligible,
dj::dj_indep_qiskit_4,dj,data/quantum_circuits/dj_indep_qiskit_4.qasm,3e4560adf43b5c5102bf22f235abcb9dd2ed5e34930cdb929a128226f96e4ea5,4,6,14,3,ok,,eligible,
dj::dj_indep_qiskit_5,dj,data/quantum_circuits/dj_indep_qiskit_5.qasm,f12c9439f3dfce19e2f161aed74fdafb33146528cdb8524425608579de8b6741,5,7,18,4,ok,,eligible,
dj::dj_indep_qiskit_6,dj,data/quantum_circuits/dj_indep_qiskit_6.qasm,b5736e26e119a619b687dcc0cf8065475e3805bc0c6180b480e0e36badc289db,6,8,22,5,ok,,eligible,
dj::dj_indep_qiskit_7,dj,data/quantum_circuits/dj_indep_qiskit_7.qasm,9fc54c185186ff8c504ebdac4e3fa109beb4cf46f86196a3376b3153a7f72962,7,9,26,6,ok,,eligible,
dj::dj_indep_qiskit_9,dj,data/quantum_circuits/dj_indep_qiskit_9.qasm,db0e077b1674f90860a270d014aa8226822880dbf36c819dad0bea17881b7eb5,9,11,34,8,ok,,eligible,
ghz::ghz_indep_qiskit_2,ghz,data/quantum_circuits/ghz_indep_qiskit_2.qasm,fcd9497c7764bb185a96cc8b6d1c7878851e9b87e64de7ebf47aa1d16eb3ee0a,2,3,5,1,ok,,eligible,
ghz::ghz_indep_qiskit_3,ghz,data/quantum_circuits/ghz_indep_qiskit_3.qasm,7344fd4d264c475e52edca02e3426225c78af7ed0bdaae137741a04685725a5d,3,4,7,2,ok,,eligible,
ghz::ghz_indep_qiskit_4,ghz,data/quantum_circuits/ghz_indep_qiskit_4.qasm,01bfdd8291d6badf1219dd3bf6d7e12559976b8ccb3e67d2548e729dc0c0dc82,4,5,9,3,ok,,eligible,
ghz::ghz_indep_qiskit_5,ghz,data/quantum_circuits/ghz_indep_qiskit_5.qasm,de4639e0b84f220ce7281521fbce5104129cc70befb85198bf93def8d4ba7a65,5,6,11,4,ok,,eligible,
ghz::ghz_indep_qiskit_6,ghz,data/quantum_circuits/ghz_indep_qiskit_6.qasm,c67a77f55c658ad1270fd52c8cbc66319b72ceaa5ca5d4015d775b44e8edd85a,6,7,13,5,ok,,eligible,
ghz::ghz_indep_qiskit_7,ghz,data/quantum_circuits/ghz_indep_qiskit_7.qasm,4b24f68f78c4499a295ab28caa04282d174b7ab2a6b0f5333d3bfe630df72f71,7,8,15,6,ok,,eligible,
ghz::ghz_indep_qiskit_8,ghz,data/quantum_circuits/ghz_indep_qiskit_8.qasm,2e57556a1b12802c7368ef21e0eb8e5c9863f768a48a9a4d0771725e60b8a616,8,9,17,7,ok,,eligible,
ghz::ghz_indep_qiskit_9,ghz,data/quantum_circuits/ghz_indep_qiskit_9.qasm,b5f6ad96b1eb0fc9087c079e22e8a91398b460e24d616ed0d8829247aee24f18,9,10,19,8,ok,,eligible,
graphstate::graphstate_indep_qiskit_3,graphstate,data/quantum_circuits/graphstate_indep_qiskit_3.qasm,51e3c5bc60da502bf92a6ed65a7c728a8b957b427652ac8fdaa002b9afc50d40,3,5,10,3,ok,,eligible,
graphstate::graphstate_indep_qiskit_4,graphstate,data/quantum_circuits/graphstate_indep_qiskit_4.qasm,13721ab5a328b17bf3f8c3692cda844a7e538a8c92530d0c1236f43d3ad5a884,4,5,13,4,ok,,eligible,
graphstate::graphstate_indep_qiskit_5,graphstate,data/quantum_circuits/graphstate_indep_qiskit_5.qasm,cfadb6828c07bfc2fac00ca0c9c03935e927b88961597b69936fc199a094b9ea,5,6,16,5,ok,,eligible,
graphstate::graphstate_indep_qiskit_6,graphstate,data/quantum_circuits/graphstate_indep_qiskit_6.qasm,7b944ad7e38d98fae66177b6c014ae2878d62bcd1765103c19941653817e7996,6,7,19,6,ok,,eligible,
graphstate::graphstate_indep_qiskit_7,graphstate,data/quantum_circuits/graphstate_indep_qiskit_7.qasm,551dfe6ad672d4157a761610fc4c1061ea844868f2106407374764552251d63a,7,5,22,7,ok,,eligible,
graphstate::graphstate_indep_qiskit_8,graphstate,data/quantum_circuits/graphstate_indep_qiskit_8.qasm,b6afb1122e1baece13144a1d0da78738759129107f453e9579e99e8789e057fe,8,6,25,8,ok,,eligible,
graphstate::graphstate_indep_qiskit_9,graphstate,data/quantum_circuits/graphstate_indep_qiskit_9.qasm,040a287609a78a55ab6148ad1a3cc6aa2fcee8b0871b077a9c1a37bee49f69fe,9,7,28,9,ok,,eligible,
grover-noancilla::grover-noancilla_indep_qiskit_2,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_2.qasm,55746e6a2fd8d9c4b8c813443f2db46b072f75db1632dd252298c735fbc72bf0,2,2,5,0,ok,,eligible,
grover-noancilla::grover-noancilla_indep_qiskit_3,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_3.qasm,bc77f4afad8bbb19a6b320c11bc8f8110a330e395e5c509895e0b6c566cab5e9,3,10,17,6,ok,,eligible,
grover-noancilla::grover-noancilla_indep_qiskit_4,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_4.qasm,edc62038c489069da135981ccefd5c5a2f3cc0a991fa6da4defa393abdb0d2a4,4,34,49,26,ok,,eligible,
grover-noancilla::grover-noancilla_indep_qiskit_5,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_5.qasm,dd514cba6fbc94c48a3eb8f2ff2210ef74259e76e7f796394066418bfd93ee86,5,170,197,129,ok,,eligible,
grover-noancilla::grover-noancilla_indep_qiskit_6,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_6.qasm,b6a15d3507225e442ed02c90df5179f09c529df7bf5ee38a8005cc265f4203a6,6,402,457,352,ok,,eligible,
grover-noancilla::grover-noancilla_indep_qiskit_7,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_7.qasm,35548785a9c99b0ad9409f18dfbfc3baed0e1dcbb1d95eae8c8510dcda120410,7,1124,1203,1116,ok,,eligible,
grover-noancilla::grover-noancilla_indep_qiskit_8,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_8.qasm,a3b7d67bad6cd47cb522addfaf763294b1ea99017f443c03052055a2f0074009,8,3034,3153,3024,ok,,eligible,
grover-v-chain::grover-v-chain_indep_qiskit_5,grover-v-chain,data/quantum_circuits/grover-v-chain_indep_qiskit_5.qasm,5042c6dd513b1366c0a145850de9e534b0e38aabc818b994ab8c4b6cad7ad5c8,5,102,131,87,ok,,eligible,
grover-v-chain::grover-v-chain_indep_qiskit_7,grover-v-chain,data/quantum_circuits/grover-v-chain_indep_qiskit_7.qasm,84056291d9ff227b3c615cc378349fa1154f5a122bcd0eb6bc04045bbf3affa0,7,271,318,244,ok,,eligible,
grover-v-chain::grover-v-chain_indep_qiskit_9,grover-v-chain,data/quantum_circuits/grover-v-chain_indep_qiskit_9.qasm,3d37464cf8c53831d2867c0c111a83e03a820e90fa26f77d01a4a85f4f9d6875,9,801,881,750,ok,,eligible,
portfolioqaoa::portfolioqaoa_indep_qiskit_3,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_3.qasm,47e6743e95c380a13dc5947d9e9b3db26e541efabd4a27134ff26aa14c00ba7d,3,15,29,9,ok,,eligible,
portfolioqaoa::portfolioqaoa_indep_qiskit_4,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_4.qasm,568570a69663949a1aaac2fe16e74d3d065c7a8e6013e21368a9d8add886d6dc,4,19,44,18,ok,,eligible,
portfolioqaoa::portfolioqaoa_indep_qiskit_5,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_5.qasm,0f7836c0a3a429dd9b4f2b55a4fab5d6d112458814cb34efb22309ec614c801f,5,23,62,30,ok,,eligible,
portfolioqaoa::portfolioqaoa_indep_qiskit_6,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_6.qasm,4dd5e72918722dff3c88e277e20e3ecc1e06dfd0601343e784eeb454470800b7,6,27,83,45,ok,,eligible,
portfolioqaoa::portfolioqaoa_indep_qiskit_7,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_7.qasm,f8d88243c9d36e41e0eedeff4898e325d59ba4d8ceb4b81c7b48757ade1e94b4,7,31,107,63,ok,,eligible,
portfolioqaoa::portfolioqaoa_indep_qiskit_8,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_8.qasm,2372d3228c3e3e38e3351feb553380bce5a543c936f73a400de0e54ab470599a,8,35,134,84,ok,,eligible,
portfolioqaoa::portfolioqaoa_indep_qiskit_9,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_9.qasm,a53b2a3a1ba8397a96b487c44f825f3cab2e0c714b69298f2ab0a839975b173c,9,39,164,108,ok,,eligible,
portfoliovqe::portfoliovqe_indep_qiskit_3,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_3.qasm,4b5542071ea595cd62184de26c4f1dac3f6afa86f6450f50a28dbe8e1f865257,3,14,25,9,ok,,eligible,
portfoliovqe::portfoliovqe_indep_qiskit_4,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_4.qasm,36bb1354ff108648bc8c9c529a2002a53a68e4bfa9bf3529edce11e5d47f851f,4,18,39,18,ok,,eligible,
portfoliovqe::portfoliovqe_indep_qiskit_5,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_5.qasm,28b9eac87132bbff64970708737a94c408cfa435ce16cd395a57ab6fbfe5a6f7,5,22,56,30,ok,,eligible,
portfoliovqe::portfoliovqe_indep_qiskit_6,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_6.qasm,7dafebd46e73b9b279f1ef96da32f7d563de3721b856b4570375ab81951e06fc,6,26,76,45,ok,,eligible,
portfoliovqe::portfoliovqe_indep_qiskit_7,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_7.qasm,99e0865dc3fced630c02b5b2710b24fd9257ba31d54112cde08a769e974f53c4,7,30,99,63,ok,,eligible,
portfoliovqe::portfoliovqe_indep_qiskit_8,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_8.qasm,eb43007109ad9707544629854cfc7259b0e6aa70c5a618cedacbb7d26dd746a0,8,34,125,84,ok,,eligible,
portfoliovqe::portfoliovqe_indep_qiskit_9,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_9.qasm,615d076a941f3eec9d225a20b894c8d30a0c90d4834d03fa0ebd5d13e4b46ded,9,38,154,108,ok,,eligible,
qaoa::qaoa_indep_qiskit_3,qaoa,data/quantum_circuits/qaoa_indep_qiskit_3.qasm,45ca196e391297302c92dc6ea0fd119efa62b2ee88e3b85260561e5fbafa7400,3,10,19,6,ok,,eligible,
qaoa::qaoa_indep_qiskit_4,qaoa,data/quantum_circuits/qaoa_indep_qiskit_4.qasm,9649572da691c86252b1620cba73350902b9ba3cf4dbdb3fb2e3531588da98c4,4,9,25,8,ok,,eligible,
qaoa::qaoa_indep_qiskit_5,qaoa,data/quantum_circuits/qaoa_indep_qiskit_5.qasm,f2ce48d725be79c1ea5cbfeb36811261c4e74460588e911c3b2916a9303c1cf5,5,10,31,10,ok,,eligible,
qaoa::qaoa_indep_qiskit_6,qaoa,data/quantum_circuits/qaoa_indep_qiskit_6.qasm,6a475a20ac3d09839e2b43104ca187037db5ff813b811e0d7356adac93d25244,6,9,37,12,ok,,eligible,
