circuit_id,family,source_file,source_sha256,backend_class,backend_name,optimization_level,shots,seed_transpiler,seed_simulator,logical_width,logical_depth,logical_ops,logical_two_qubit_ops,physical_width,physical_depth,physical_ops,physical_two_qubit_ops,swap_count,dag_node_count,t_transpile_s,t_exec_s,t_total_s,status,error
ae::ae_indep_qiskit_8,ae,data/quantum_circuits/ae_indep_qiskit_8.qasm,78d3420407751ab52a65abe926510d585ebd3a5d1934ac31c13b28eca5c5ee8a,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,42,73,35,127,237,371,182,0,371,0.015755235999677097,0.8314797149996593,0.8472349509993364,ok,
ae::ae_indep_qiskit_8,ae,data/quantum_circuits/ae_indep_qiskit_8.qasm,78d3420407751ab52a65abe926510d585ebd3a5d1934ac31c13b28eca5c5ee8a,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,42,73,35,127,186,290,116,0,290,0.013772371999948518,0.6403078559997084,0.6540802279996569,ok,
ae::ae_indep_qiskit_8,ae,data/quantum_circuits/ae_indep_qiskit_8.qasm,78d3420407751ab52a65abe926510d585ebd3a5d1934ac31c13b28eca5c5ee8a,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,42,73,35,127,156,308,95,0,308,0.01477401100055431,0.6293918810006289,0.6441658920011832,ok,
ae::ae_indep_qiskit_8,ae,data/quantum_circuits/ae_indep_qiskit_8.qasm,78d3420407751ab52a65abe926510d585ebd3a5d1934ac31c13b28eca5c5ee8a,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,42,73,35,127,156,308,95,0,308,0.011721492999640759,0.6742938620009227,0.6860153550005634,ok,
dj::dj_indep_qiskit_7,dj,data/quantum_circuits/dj_indep_qiskit_7.qasm,9fc54c185186ff8c504ebdac4e3fa109beb4cf46f86196a3376b3153a7f72962,FakeWashingtonV2,fake_washington,0,1024,1234,1234,7,9,26,6,127,55,91,45,0,91,0.005703868000637158,0.6388059069995506,0.6445097750001878,ok,
dj::dj_indep_qiskit_7,dj,data/quantum_circuits/dj_indep_qiskit_7.qasm,9fc54c185186ff8c504ebdac4e3fa109beb4cf46f86196a3376b3153a7f72962,FakeWashingtonV2,fake_washington,1,1024,1234,1234,7,9,26,6,127,37,64,18,0,64,0.008249901000453974,0.5394530559988198,0.5477029569992737,ok,
dj::dj_indep_qiskit_7,dj,data/quantum_circuits/dj_indep_qiskit_7.qasm,9fc54c185186ff8c504ebdac4e3fa109beb4cf46f86196a3376b3153a7f72962,FakeWashingtonV2,fake_washington,2,1024,1234,1234,7,9,26,6,127,21,57,15,0,57,0.010731719999967027,0.7197704410009464,0.7305021610009135,ok,
dj::dj_indep_qiskit_7,dj,data/quantum_circuits/dj_indep_qiskit_7.qasm,9fc54c185186ff8c504ebdac4e3fa109beb4cf46f86196a3376b3153a7f72962,FakeWashingtonV2,fake_washington,3,1024,1234,1234,7,9,26,6,127,21,57,15,0,57,0.012542071001007571,0.5346835580003244,0.547225629001332,ok,
ghz::ghz_indep_qiskit_8,ghz,data/quantum_circuits/ghz_indep_qiskit_8.qasm,2e57556a1b12802c7368ef21e0eb8e5c9863f768a48a9a4d0771725e60b8a616,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,9,17,7,127,11,19,7,0,19,0.004726816001493717,0.7010468120006408,0.7057736280021345,ok,
ghz::ghz_indep_qiskit_8,ghz,data/quantum_circuits/ghz_indep_qiskit_8.qasm,2e57556a1b12802c7368ef21e0eb8e5c9863f768a48a9a4d0771725e60b8a616,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,9,17,7,127,11,19,7,0,19,0.005208562000916572,0.5351067209994653,0.5403152830003819,ok,
ghz::ghz_indep_qiskit_8,ghz,data/quantum_circuits/ghz_indep_qiskit_8.qasm,2e57556a1b12802c7368ef21e0eb8e5c9863f768a48a9a4d0771725e60b8a616,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,9,17,7,127,11,19,7,0,19,0.009232770000380697,0.7053249349992257,0.7145577049996064,ok,
ghz::ghz_indep_qiskit_8,ghz,data/quantum_circuits/ghz_indep_qiskit_8.qasm,2e57556a1b12802c7368ef21e0eb8e5c9863f768a48a9a4d0771725e60b8a616,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,9,17,7,127,11,19,7,0,19,0.011609934999796678,0.5333206770010293,0.5449306120008259,ok,
graphstate::graphstate_indep_qiskit_8,graphstate,data/quantum_circuits/graphstate_indep_qiskit_8.qasm,b6afb1122e1baece13144a1d0da78738759129107f453e9579e99e8789e057fe,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,6,25,8,127,54,125,44,0,125,0.005311607001203811,0.6215210569989722,0.626832664000176,ok,
graphstate::graphstate_indep_qiskit_8,graphstate,data/quantum_circuits/graphstate_indep_qiskit_8.qasm,b6afb1122e1baece13144a1d0da78738759129107f453e9579e99e8789e057fe,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,6,25,8,127,23,62,17,0,62,0.02151144699928409,0.5376380330017128,0.5591494800009968,ok,
