circuit_id,family,source_file,source_sha256,logical_width,logical_depth,logical_ops,logical_two_qubit_ops,source_status,source_error,screening_status,screening_reason
ae::ae_indep_qiskit_10,ae,data/quantum_circuits/ae_indep_qiskit_10.qasm,78ad3c5b3703b2eab8229c1bb5133f438fc458f489ff650fdca1fff38fe922f2,10,54,102,54,ok,,rejected,width>9
ae::ae_indep_qiskit_12,ae,data/quantum_circuits/ae_indep_qiskit_12.qasm,b14a4eaa1efc4b4eb9f8fe643e30a3508ba615ede75614adaefc091cd33c3d76,12,66,135,77,ok,,rejected,width>9
ae::ae_indep_qiskit_30,ae,data/quantum_circuits/ae_indep_qiskit_30.qasm,98ca128cfe4152595dbb8b1df07f189628a8cf1366dfd1ad74ab2fd8bde5efc5,30,174,612,464,ok,,rejected,width>9
ae::ae_indep_qiskit_31,ae,data/quantum_circuits/ae_indep_qiskit_31.qasm,65f8c2f6da644ca46c2b7a9811740a40ded2fd7fec94f463d5d2a9411e303489,31,180,648,495,ok,,rejected,width>9
ae::ae_indep_qiskit_32,ae,data/quantum_circuits/ae_indep_qiskit_32.qasm,8c10a45336c6e48a2aec50211358572be11aac4161a6d508c029681ddb8a932a,32,186,685,527,ok,,rejected,width>9
ae::ae_indep_qiskit_33,ae,data/quantum_circuits/ae_indep_qiskit_33.qasm,672d320402d5232c45ce80c66553f1bb0a72d15bb72cc866bbeb877671670fb6,33,192,723,560,ok,,rejected,width>9
ae::ae_indep_qiskit_34,ae,data/quantum_circuits/ae_indep_qiskit_34.qasm,a25d17591f0c07cce510532d3e2823ee14c4d5f20b22d75fa4e0ef249417ee1e,34,198,762,594,ok,,rejected,width>9
ae::ae_indep_qiskit_35,ae,data/quantum_circuits/ae_indep_qiskit_35.qasm,d5ec265871b518d8ade065590ba3d3ed5cb9293c679c664384a9988f2a385296,35,204,802,629,ok,,rejected,width>9
ae::ae_indep_qiskit_36,ae,data/quantum_circuits/ae_indep_qiskit_36.qasm,e4b3f4f4d29d45599fc19dc93f756146ae038d87d98756a6d8c080f0090be4ed,36,210,843,665,ok,,rejected,width>9
ae::ae_indep_qiskit_37,ae,data/quantum_circuits/ae_indep_qiskit_37.qasm,0a9bd09f613aea27f951459860dc73924314f2fcdc7879a1ab4ebe680b411264,37,216,885,702,ok,,rejected,width>9
ae::ae_indep_qiskit_38,ae,data/quantum_circuits/ae_indep_qiskit_38.qasm,19c515032dda2da4f8414996542a122d18c51c5220afb3692c1fc6651ae3d411,38,222,928,740,ok,,rejected,width>9
ae::ae_indep_qiskit_39,ae,data/quantum_circuits/ae_indep_qiskit_39.qasm,b98e5f2b6827abdba7e72830ef6015c709d1b49c6ce3e174dd8456816b6ab70c,39,228,972,779,ok,,rejected,width>9
ae::ae_indep_qiskit_40,ae,data/quantum_circuits/ae_indep_qiskit_40.qasm,f7dc6dfa48c7079d5abe7136d4c2047d726bfd1ba615c738aa5cdb575735ed1b,40,234,1017,819,ok,,rejected,width>9
ae::ae_indep_qiskit_41,ae,data/quantum_circuits/ae_indep_qiskit_41.qasm,5c0ab50817ff22eac9c4f5575010b078d35959065582f05c577672c81b988497,41,240,1063,860,ok,,rejected,width>9
ae::ae_indep_qiskit_42,ae,data/quantum_circuits/ae_indep_qiskit_42.qasm,ea922022f8e915e8dd6531483621b680db9e029facc3162b8c4d72443010562d,42,246,1110,902,ok,,rejected,width>9
ae::ae_indep_qiskit_43,ae,data/quantum_circuits/ae_indep_qiskit_43.qasm,a7ca98a495eb91cfe68a958a6bd5e80f2516b6e2d31922d9aeaeffbb46777aae,43,252,1158,945,ok,,rejected,width>9
ae::ae_indep_qiskit_44,ae,data/quantum_circuits/ae_indep_qiskit_44.qasm,0177a5a47395c776a0048a22af438fde8229e00cc66c009357954de384964f6f,44,258,1207,989,ok,,rejected,width>9
ae::ae_indep_qiskit_45,ae,data/quantum_circuits/ae_indep_qiskit_45.qasm,4061b9f6a4a573d5c6aced776f2b1c75d13ab3037b0643387c94a1e8e2b43888,45,264,1257,1034,ok,,rejected,width>9
