cudaq_target,family,first_sample_s,first_shots_observed,gate_count,logical_depth,precision,runtime_semantics,shots,simulator,statevector_bytes,status,target_name,two_qubit_gates,warm_sample_max_s,warm_sample_median_s,warm_sample_min_s,warm_sample_repeats,width
qpp-cpu,ghz,0.0985905540001113,32,16,16,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,1048576,ok,cpu_fp64,15,0.017759180000211927,0.01520170999901893,0.015092364001247915,"[0.01520170999901893, 0.015092364001247915, 0.017759180000211927]",16
qpp-cpu,ghz,0.4797915630006173,32,20,20,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,16777216,ok,cpu_fp64,19,0.5470029799998883,0.5467469479990541,0.530305620000945,"[0.530305620000945, 0.5467469479990541, 0.5470029799998883]",20
qpp-cpu,ghz,2.3600497899988113,32,22,22,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,67108864,ok,cpu_fp64,21,2.4206882449998375,2.413581475000683,2.2318606169992563,"[2.4206882449998375, 2.2318606169992563, 2.413581475000683]",22
qpp-cpu,hea,0.9498849259998678,32,189,54,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,1048576,ok,cpu_fp64,45,1.1429992049997963,1.139002484998855,1.1199780389997613,"[1.139002484998855, 1.1429992049997963, 1.1199780389997613]",16
qpp-cpu,hea,5.595263330000307,32,237,66,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,16777216,ok,cpu_fp64,57,6.511564673999601,6.372704809000425,5.80018657599976,"[5.80018657599976, 6.372704809000425, 6.511564673999601]",20
qpp-cpu,hea,29.215581716000088,32,261,72,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,67108864,ok,cpu_fp64,63,29.119178930999624,28.839490135000233,28.035093125999992,"[28.035093125999992, 28.839490135000233, 29.119178930999624]",22
qpp-cpu,qaoa_cycle,0.12358965000021271,32,64,49,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,1048576,ok,cpu_fp64,32,0.40473989299971436,0.3452016419996653,0.1819068700006028,"[0.40473989299971436, 0.3452016419996653, 0.1819068700006028]",16
qpp-cpu,qaoa_cycle,2.150114547999692,32,80,61,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,16777216,ok,cpu_fp64,40,2.3218333660006465,2.276062696999361,2.1913928220001253,"[2.3218333660006465, 2.276062696999361, 2.1913928220001253]",20
qpp-cpu,qaoa_cycle,9.456740834999437,32,88,67,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,67108864,ok,cpu_fp64,44,9.781097430000955,9.647693482998875,9.604495874998975,"[9.647693482998875, 9.604495874998975, 9.781097430000955]",22
qpp-cpu,random_brickwork,0.6045185840011982,32,60,8,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,1048576,ok,cpu_fp64,28,0.5859871369993925,0.5348147840013553,0.40068761499969696,"[0.5348147840013553, 0.5859871369993925, 0.40068761499969696]",16
qpp-cpu,random_brickwork,3.1980211909994978,32,76,8,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,16777216,ok,cpu_fp64,36,3.302841634998913,3.2481080920006207,3.2478358049993403,"[3.2478358049993403, 3.302841634998913, 3.2481080920006207]",20
qpp-cpu,random_brickwork,14.51308980900103,32,84,8,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,qpp-cpu,67108864,ok,cpu_fp64,40,15.837489059998916,15.544929282999874,15.46106171700012,"[15.837489059998916, 15.544929282999874, 15.46106171700012]",22
