cudaq_target,family,first_sample_s,first_shots_observed,gate_count,logical_depth,precision,runtime_semantics,shots,simulator,statevector_bytes,status,target_name,two_qubit_gates,warm_sample_max_s,warm_sample_median_s,warm_sample_min_s,warm_sample_repeats,width
nvidia,ghz,0.0516590309998719,32,16,16,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,524288,ok,gpu_fp32,15,0.0003866580009344034,0.000374092000129167,0.0003657449997263029,"[0.0003866580009344034, 0.000374092000129167, 0.0003657449997263029]",16
nvidia,ghz,0.001859001999036991,32,20,20,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,8388608,ok,gpu_fp32,19,0.000498433000757359,0.0004690409987233579,0.00046446499982266687,"[0.000498433000757359, 0.0004690409987233579, 0.00046446499982266687]",20
nvidia,ghz,0.0313456040003075,32,24,24,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,134217728,ok,gpu_fp32,23,0.004081025999767007,0.003953078001359245,0.003887619999659364,"[0.003953078001359245, 0.004081025999767007, 0.003887619999659364]",24
nvidia,ghz,0.06328616600148962,32,28,28,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,2147483648,ok,gpu_fp32,27,0.06159033699987049,0.06158320600115985,0.06095694299983734,"[0.06158320600115985, 0.06095694299983734, 0.06159033699987049]",28
nvidia,hea,0.03717763199892943,32,189,54,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,524288,ok,gpu_fp32,45,0.0011924689988518367,0.0011416409997764276,0.0011354389989719493,"[0.0011354389989719493, 0.0011924689988518367, 0.0011416409997764276]",16
nvidia,hea,0.001550912000311655,32,237,66,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,8388608,ok,gpu_fp32,57,0.001485804001276847,0.0014655640006822068,0.0014490789999399567,"[0.0014655640006822068, 0.001485804001276847, 0.0014490789999399567]",20
nvidia,hea,0.007859937000830541,32,285,78,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,134217728,ok,gpu_fp32,69,0.007761061999190133,0.007737219000773621,0.007615038000949426,"[0.007761061999190133, 0.007615038000949426, 0.007737219000773621]",24
nvidia,hea,0.13442350500008615,32,333,90,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,2147483648,ok,gpu_fp32,81,0.13511950699830777,0.13456725000105507,0.1344704670009378,"[0.13456725000105507, 0.1344704670009378, 0.13511950699830777]",28
nvidia,qaoa_cycle,0.0340346060002048,32,64,49,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,524288,ok,gpu_fp32,32,0.0006146859996079002,0.000606396000875975,0.0006058090002625249,"[0.0006146859996079002, 0.0006058090002625249, 0.000606396000875975]",16
nvidia,qaoa_cycle,0.0009335550003015669,32,80,61,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,8388608,ok,gpu_fp32,40,0.0007729110002401285,0.0007622349985467736,0.0007505110006604809,"[0.0007505110006604809, 0.0007729110002401285, 0.0007622349985467736]",20
nvidia,qaoa_cycle,0.003976432999479584,32,96,73,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,134217728,ok,gpu_fp32,48,0.0036508479988697218,0.003648711001005722,0.003643878000730183,"[0.003643878000730183, 0.0036508479988697218, 0.003648711001005722]",24
nvidia,qaoa_cycle,0.06680651899841905,32,112,85,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,2147483648,ok,gpu_fp32,56,0.0675518700008979,0.06635827500031155,0.06595517399910023,"[0.0675518700008979, 0.06635827500031155, 0.06595517399910023]",28
nvidia,random_brickwork,0.09889433200078201,32,60,8,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,524288,ok,gpu_fp32,28,0.0009142159997281851,0.0007774679997964995,0.0007702099992457079,"[0.0009142159997281851, 0.0007774679997964995, 0.0007702099992457079]",16
nvidia,random_brickwork,0.0010728240013122559,32,76,8,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,8388608,ok,gpu_fp32,36,0.0009830009985307697,0.0009806429989112075,0.0009766909988684347,"[0.0009766909988684347, 0.0009830009985307697, 0.0009806429989112075]",20
nvidia,random_brickwork,0.005902240000068559,32,92,8,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,134217728,ok,gpu_fp32,44,0.006016240000462858,0.005835284999193391,0.005826410999361542,"[0.005835284999193391, 0.005826410999361542, 0.006016240000462858]",24
nvidia,random_brickwork,0.10344059700037178,32,108,8,fp32,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,2147483648,ok,gpu_fp32,52,0.10363323300043703,0.10341774199878273,0.1031165559998044,"[0.10363323300043703, 0.1031165559998044, 0.10341774199878273]",28
nvidia,ghz,0.0021214090011199005,32,16,16,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,1048576,ok,gpu_fp64,15,0.0004444450005394174,0.00041110000165645033,0.00039209699934872333,"[0.0004444450005394174, 0.00041110000165645033, 0.00039209699934872333]",16
nvidia,ghz,0.002122244999554823,32,20,20,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,16777216,ok,gpu_fp64,19,0.0019550720007828204,0.0019470569986879127,0.0019429710009717382,"[0.0019550720007828204, 0.0019470569986879127, 0.0019429710009717382]",20
nvidia,ghz,0.03210007399866299,32,24,24,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,268435456,ok,gpu_fp64,23,0.03177757499906875,0.03173676400001568,0.03155981000054453,"[0.03177757499906875, 0.03155981000054453, 0.03173676400001568]",24
nvidia,ghz,0.5841015639998659,32,28,28,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,4294967296,ok,gpu_fp64,27,0.581779001000541,0.5801665559993125,0.579881646001013,"[0.579881646001013, 0.581779001000541, 0.5801665559993125]",28
