target,split,model,fold,n_train,n_test,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2
state_warm_median_s,grouped_circuit,median_log,0,36,12,0.07373648463792425,0.08230764472419684,-0.200334060309183,0.0817194776462221,0.09041962792357099,-0.17000888517315738
state_warm_median_s,grouped_circuit,ridge,0,36,12,0.01172942508839806,0.018090430513610454,0.9420144760699782,0.013088736948572544,0.020933552055582744,0.9372881544082062
state_warm_median_s,grouped_circuit,hgb,0,36,12,0.07389592400765467,0.08250420821481447,-0.20607407599209426,0.08190078596033616,0.09062836162028946,-0.1754170510028359
state_warm_median_s,grouped_circuit,median_log,1,36,12,0.0805615290056338,0.08535898254956208,-0.20902961906754447,0.08941865864575031,0.09409695646232129,-0.17479778374710486
state_warm_median_s,grouped_circuit,ridge,1,36,12,0.014972823945102519,0.018142836548952573,0.9453803570554864,0.014689988749684269,0.019202296879569838,0.9510764091781844
state_warm_median_s,grouped_circuit,hgb,1,36,12,0.08092841472516211,0.08582247463009622,-0.22219512392875407,0.08983599682362757,0.09458695294315192,-0.18706482405692926
state_warm_median_s,grouped_circuit,median_log,2,40,8,0.05057729368018722,0.052217450444374654,-0.0295522917302955,0.05670763787566104,0.05890186850323682,-0.03855178989210706
state_warm_median_s,grouped_circuit,ridge,2,40,8,0.010645340737246566,0.011966762648189501,0.9459282484966093,0.012121486350681679,0.013865651092872163,0.9424493079736608
state_warm_median_s,grouped_circuit,hgb,2,40,8,0.03832971107105761,0.040777736758148685,0.37213927233973787,0.04383524497443319,0.047375589422612656,0.32813925458639837
state_warm_median_s,grouped_circuit,median_log,3,40,8,0.12989206415905225,0.15301370671636605,-2.5793171581824113,0.15362624022307453,0.18356974254940422,-2.3374687636083706
state_warm_median_s,grouped_circuit,ridge,3,40,8,0.03193635068775355,0.039759697467502485,0.7583283802900943,0.04080059160470322,0.05184435652120104,0.7337939085228706
state_warm_median_s,grouped_circuit,hgb,3,40,8,0.07539335830603285,0.083766659660969,-0.07270895347167872,0.09316520899983516,0.10502767161352412,-0.0925026202022412
state_warm_median_s,grouped_circuit,median_log,4,40,8,0.11153595860693911,0.11474974629998708,-0.02373844132445746,0.1265037311254673,0.13181669171446436,-0.04332421634882544
state_warm_median_s,grouped_circuit,ridge,4,40,8,0.03301959721887211,0.03342177921431916,0.9131550288756012,0.03728833788345629,0.03751717891288721,0.9154840220449106
state_warm_median_s,grouped_circuit,hgb,4,40,8,0.04888609254237253,0.05446335855787915,0.7693813732944381,0.05665915822454995,0.06504352345311448,0.7459690742112621
state_warm_median_s,family_held_out,median_log,0,36,12,0.1446793413977806,0.144699977043802,-3505.318519236573,0.15722597359217458,0.1572454640587941,-4033.157133476871
state_warm_median_s,family_held_out,ridge,0,36,12,0.12327875068286794,0.12554111767941092,-2638.285809338132,0.13282516126171176,0.13555992757348978,-2997.190429382864
state_warm_median_s,family_held_out,hgb,0,36,12,0.1470356309146494,0.14705593591436658,-3620.4255396172985,0.15997959694718755,0.15999875197776672,-4175.666004391194
state_warm_median_s,family_held_out,median_log,1,36,12,0.08918604433924267,0.09413572482434819,-8.7660228721893,0.10098558854003538,0.10707850003565632,-8.04445827967735
state_warm_median_s,family_held_out,ridge,1,36,12,0.2432999065807773,0.24673468470611573,-66.09176306557437,0.3269505735819306,0.33411276508339105,-87.05705142295494
state_warm_median_s,family_held_out,hgb,1,36,12,0.05726638816302699,0.06470566742227855,-3.6141683682702412,0.0660594145598546,0.07504373610834852,-3.4422899029121385
state_warm_median_s,family_held_out,median_log,2,36,12,0.16016443151297663,0.16763299548075167,-10.478268138103578,0.18859704278981704,0.19874608558631343,-9.047921369898424
state_warm_median_s,family_held_out,ridge,2,36,12,0.14621495439158746,0.15168113501745722,-8.39767656889963,0.1733833088236291,0.18116857459685523,-7.349198667344249
state_warm_median_s,family_held_out,hgb,2,36,12,0.1519042377280056,0.15975942379622296,-9.425342356859495,0.17966546355610327,0.19029146271351113,-8.21123090400977
state_warm_median_s,family_held_out,median_log,3,36,12,0.08100386444408085,0.08177872662531051,-52.02104291507483,0.09075564050878249,0.09156071958773791,-56.11553006381476
state_warm_median_s,family_held_out,ridge,3,36,12,0.06014808639371542,0.06142390492286382,-28.911791388494272,0.06288339308037062,0.06426604174323164,-27.138369016327538
state_warm_median_s,family_held_out,hgb,3,36,12,0.06213499497638314,0.06314183774881281,-30.608363712267344,0.06893743023496511,0.0699939166975652,-32.37770022932515
state_warm_median_s,cap_held_out,median_log,0,36,12,0.0821247777926165,0.09727652309216256,-0.049917402738387295,0.09391340100016048,0.11362931573648237,-0.06946131848201453
state_warm_median_s,cap_held_out,ridge,0,36,12,0.03216222476754913,0.03447404213044316,0.8681368422731968,0.03637394207930731,0.0387999965108515,0.8753053928311285
state_warm_median_s,cap_held_out,hgb,0,36,12,0.08212477779261648,0.09515991145142984,-0.00472478090460049,0.09391340100016048,0.11059109189039568,-0.013035326328940888
state_warm_median_s,cap_held_out,median_log,1,36,12,0.06252807500755546,0.06987563082961543,-0.015895534939961875,0.0692569319159399,0.07718825335278573,-0.008412511841810577
state_warm_median_s,cap_held_out,ridge,1,36,12,0.028681606322913597,0.037774905560460315,0.7031040026215569,0.03423800124366885,0.046355860946597154,0.6362984925312144
state_warm_median_s,cap_held_out,hgb,1,36,12,0.06405775697672302,0.07395427933052791,-0.13795263760370746,0.07098526972364264,0.08120583604743789,-0.11611843673145761
state_warm_median_s,cap_held_out,median_log,2,36,12,0.0870453613947927,0.10009956173740485,-0.06942020151062733,0.09967237816636043,0.11673206914480644,-0.092976432546787
