family,fidelity_vs_dense,gate_count,logical_depth,mps_abs_cutoff_config,mps_max_bond_config,mps_svd_algo,mps_tensor_bytes,mps_tensor_count,mps_tensor_elements,observed_max_bond,precision,runtime_semantics,sample_first_s,sample_first_shots_observed,sample_warm_median_s,sample_warm_repeats,shots,simulator,state_first_s,state_warm_median_s,state_warm_repeats,statevector_bytes,status,target_name,two_qubit_gates,width
ghz,1.0000000000000004,16,16,1e-12,16,gesvdj,1920,16,120,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.03794100199957029,32,0.027149851001013303,"[0.027149851001013303, 0.022606573002121877]",32,tensornet_mps,0.1732335939996119,0.00921094300065306,"[0.00921094300065306, 0.008395306998863816]",1048576,ok,cudaq_tensornet_mps,15,16
ghz,,20,20,1e-12,16,gesvdj,2432,20,152,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.03560359699986293,32,0.03050070600147592,"[0.03050070600147592, 0.029977149999467656]",32,tensornet_mps,0.009031705998495454,0.009243058997526532,"[0.008362264001334552, 0.009243058997526532]",16777216,ok,cudaq_tensornet_mps,19,20
ghz,,24,24,1e-12,16,gesvdj,2944,24,184,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.2786411649976799,32,0.2793025389983086,"[0.2793025389983086, 0.27767778300039936]",32,tensornet_mps,0.01069445300163352,0.010954822999337921,"[0.010954822999337921, 0.010093562999827554]",268435456,ok,cudaq_tensornet_mps,23,24
hea,1.0,189,54,1e-12,16,gesvdj,23168,16,1448,8,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.15759673800130258,32,0.15631270399899222,"[0.15631270399899222, 0.15621680800177273]",32,tensornet_mps,0.16818262499873526,0.13686306700037676,"[0.13686306700037676, 0.13651743499940494]",1048576,ok,cudaq_tensornet_mps,45,16
hea,,237,66,1e-12,16,gesvdj,31360,20,1960,8,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.21252887300215662,32,0.20719051600099192,"[0.20719051600099192, 0.20622485000058077]",32,tensornet_mps,0.17453469899919583,0.17493389599985676,"[0.17458690000057686, 0.17493389599985676]",16777216,ok,cudaq_tensornet_mps,57,20
hea,,285,78,1e-12,16,gesvdj,39552,24,2472,8,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.5081304500017723,32,0.5113021879988082,"[0.5113021879988082, 0.5070528920005017]",32,tensornet_mps,0.21259354799985886,0.21299513700068928,"[0.2129098689983948, 0.21299513700068928]",268435456,ok,cudaq_tensornet_mps,69,24
qaoa_cycle,1.0000000000000022,64,49,1e-12,16,gesvdj,6784,16,424,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.2453056500016828,32,0.24373131500033196,"[0.24373131500033196, 0.24317479300225386]",32,tensornet_mps,0.2566659299991443,0.22652129999914905,"[0.22652129999914905, 0.2254403180013469]",1048576,ok,cudaq_tensornet_mps,32,16
qaoa_cycle,,80,61,1e-12,16,gesvdj,8832,20,552,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.3137845940000261,32,0.3110919329992612,"[0.3107489750000241, 0.3110919329992612]",32,tensornet_mps,0.2851019420013472,0.2855575579997094,"[0.2855575579997094, 0.28503227599867387]",16777216,ok,cudaq_tensornet_mps,40,20
qaoa_cycle,,96,73,1e-12,16,gesvdj,10880,24,680,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.6294836100023531,32,0.6300087310009985,"[0.6294770009990316, 0.6300087310009985]",32,tensornet_mps,0.3563805819976551,0.35751132299992605,"[0.35719612300090375, 0.35751132299992605]",268435456,ok,cudaq_tensornet_mps,48,24
random_brickwork,1.0000000000000004,60,8,1e-12,16,gesvdj,6784,16,424,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.0770299400028307,32,0.07677725499888766,"[0.07589506300064386, 0.07677725499888766]",32,tensornet_mps,0.10608138300085557,0.06498137100061285,"[0.06498137100061285, 0.05995937199986656]",1048576,ok,cudaq_tensornet_mps,28,16
random_brickwork,,76,8,1e-12,16,gesvdj,8832,20,552,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.10429948400269495,32,0.10368517700044322,"[0.10368517700044322, 0.10350427799858153]",32,tensornet_mps,0.07791763200293644,0.07767323200096143,"[0.07767323200096143, 0.07760618499742122]",16777216,ok,cudaq_tensornet_mps,36,20
random_brickwork,,92,8,1e-12,16,gesvdj,10880,24,680,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.36401092799860635,32,0.36712440499832155,"[0.36712440499832155, 0.36225260400169645]",32,tensornet_mps,0.0942929759985418,0.09535804099868983,"[0.09535804099868983, 0.09420609299922944]",268435456,ok,cudaq_tensornet_mps,44,24
