family,n,min_qubits,max_qubits,median_actual_over_est,min_actual_over_est,max_actual_over_est,median_warm_s,median_est_s,median_path_s
ae,9,2,10,0.21519835763003217,0.1978156496580263,0.3910385612501324,0.00011190400272607803,0.00052000398125,0.013422130000208199
dj,8,2,10,0.2560633592435322,0.2249130227660553,0.458969770172833,6.259199976921082e-05,0.00024500123175,0.004244619000019156
ghz,9,2,10,0.32244574676757026,0.24783325844011686,0.6534377326325589,5.481600016355515e-05,0.00017000069225,0.003607104999900912
graphstate,7,3,9,0.28159923159164635,0.23405646536948968,0.3725409480396947,5.993599817156792e-05,0.00023000064025,0.004818764999981795
grover-noancilla,6,2,7,0.23833124574525766,0.19397835354048343,0.561918935435078,0.0002754720002412796,0.0013950343395,0.1736682910000127
grover-v-chain,6,2,9,0.4296492867615863,0.2001746906157687,2.2266004578862044,0.0005885279774665833,0.001516171014,0.34566263500005334
portfolioqaoa,8,3,10,0.20476454932974447,0.19459495969824125,0.25759883758540875,0.0001879360005259514,0.00092001455675,0.27244388249994245
portfoliovqe,8,3,10,0.20704874272583526,0.19617390247035263,0.2530450061892662,0.00018721599876880644,0.00092001455675,0.26721914899997046
qaoa,8,3,10,0.22908839829117691,0.20516027312729057,0.27215892129169456,0.00010188799723982812,0.00044500197925,0.015286153500028377
qft,9,2,10,0.25156778930316653,0.2090161056816643,0.6782027727423592,8.28159973025322e-05,0.00035000251225,0.015799229000094783
qftentangled,9,2,10,0.2254897036960647,0.20022953798923146,0.45084260216269517,9.219200164079666e-05,0.00041000329225,0.03354726800012031
qnn,9,2,10,0.20305781854902244,0.19259974563732687,0.2782210190978018,0.0002534080147743225,0.00130002163525,0.03407768900001429
qpeexact,9,2,10,0.23225134630610778,0.20050560501311604,0.48822745303403753,8.825600147247315e-05,0.00038000210925,0.018398349999870334
qpeinexact,9,2,10,0.23679876611086662,0.20925747899935382,0.4731417646350587,9.23520028591156e-05,0.00039000204425,0.020450207000067167
qwalk-noancilla,5,3,7,0.1990997008697213,0.1904370630003765,0.43847483528146025,0.0010589760541915893,0.00546022135425,0.46472663200006536
qwalk-v-chain,4,3,9,0.19446658924036336,0.19041625699396514,0.20843723399692055,0.0009193280339241027,0.00480013364325,0.16957400550006696
random,9,2,10,0.20597795840854968,0.19399666311173408,0.2829461804070242,0.00019641600549221038,0.00099001484275,0.02405587199996262
realamprandom,9,2,10,0.22407516050540824,0.20048547658849067,0.3353129378372058,0.00016575999557971955,0.00080001765725,0.019944151000117927
su2random,9,2,10,0.22602635156952114,0.20131623102976612,0.3266272721240809,0.0001632000058889389,0.00080001765725,0.02002685999991627
twolocalrandom,9,2,10,0.22946495109612813,0.20116238177756432,0.3227415704650927,0.00016806399822235109,0.00080001765725,0.019845303000010972
vqe,8,3,10,0.23350476794038993,0.2082849777426577,0.2744876348061698,0.00010023999959230423,0.00042500313624999997,0.006611443000110739
wstate,9,2,10,0.23829893113617753,0.21542759389538899,0.437998469923361,7.625599950551986e-05,0.00032000143325,0.005516691999901013
