circuit_id,family,num_qubits,qasm_name,skip_reason,n_gates_approx
ae_indep_qiskit_12,ae,12,ae_indep_qiskit_12.qasm,width_outside_2_10,
ae_indep_qiskit_30,ae,30,ae_indep_qiskit_30.qasm,width_outside_2_10,
ae_indep_qiskit_31,ae,31,ae_indep_qiskit_31.qasm,width_outside_2_10,
ae_indep_qiskit_32,ae,32,ae_indep_qiskit_32.qasm,width_outside_2_10,
ae_indep_qiskit_33,ae,33,ae_indep_qiskit_33.qasm,width_outside_2_10,
ae_indep_qiskit_34,ae,34,ae_indep_qiskit_34.qasm,width_outside_2_10,
ae_indep_qiskit_35,ae,35,ae_indep_qiskit_35.qasm,width_outside_2_10,
ae_indep_qiskit_36,ae,36,ae_indep_qiskit_36.qasm,width_outside_2_10,
ae_indep_qiskit_37,ae,37,ae_indep_qiskit_37.qasm,width_outside_2_10,
ae_indep_qiskit_38,ae,38,ae_indep_qiskit_38.qasm,width_outside_2_10,
ae_indep_qiskit_39,ae,39,ae_indep_qiskit_39.qasm,width_outside_2_10,
ae_indep_qiskit_40,ae,40,ae_indep_qiskit_40.qasm,width_outside_2_10,
ae_indep_qiskit_41,ae,41,ae_indep_qiskit_41.qasm,width_outside_2_10,
ae_indep_qiskit_42,ae,42,ae_indep_qiskit_42.qasm,width_outside_2_10,
ae_indep_qiskit_43,ae,43,ae_indep_qiskit_43.qasm,width_outside_2_10,
ae_indep_qiskit_44,ae,44,ae_indep_qiskit_44.qasm,width_outside_2_10,
ae_indep_qiskit_45,ae,45,ae_indep_qiskit_45.qasm,width_outside_2_10,
ae_indep_qiskit_46,ae,46,ae_indep_qiskit_46.qasm,width_outside_2_10,
ae_indep_qiskit_47,ae,47,ae_indep_qiskit_47.qasm,width_outside_2_10,
ae_indep_qiskit_48,ae,48,ae_indep_qiskit_48.qasm,width_outside_2_10,
ae_indep_qiskit_49,ae,49,ae_indep_qiskit_49.qasm,width_outside_2_10,
ae_indep_qiskit_50,ae,50,ae_indep_qiskit_50.qasm,width_outside_2_10,
ae_indep_qiskit_51,ae,51,ae_indep_qiskit_51.qasm,width_outside_2_10,
ae_indep_qiskit_52,ae,52,ae_indep_qiskit_52.qasm,width_outside_2_10,
ae_indep_qiskit_53,ae,53,ae_indep_qiskit_53.qasm,width_outside_2_10,
ae_indep_qiskit_54,ae,54,ae_indep_qiskit_54.qasm,width_outside_2_10,
ae_indep_qiskit_55,ae,55,ae_indep_qiskit_55.qasm,width_outside_2_10,
ae_indep_qiskit_56,ae,56,ae_indep_qiskit_56.qasm,width_outside_2_10,
ae_indep_qiskit_57,ae,57,ae_indep_qiskit_57.qasm,width_outside_2_10,
ae_indep_qiskit_58,ae,58,ae_indep_qiskit_58.qasm,width_outside_2_10,
ae_indep_qiskit_59,ae,59,ae_indep_qiskit_59.qasm,width_outside_2_10,
ae_indep_qiskit_60,ae,60,ae_indep_qiskit_60.qasm,width_outside_2_10,
