split,held_out,family,n_qubits,actual_threshold,predicted_threshold,actual_rung,predicted_rung,absolute_rung_error
size,8,weak,8,2,2,1,1,0
size,8,strong,8,8,16,3,4,1
size,8,detuned,8,8,16,3,4,1
size,8,two_stage,8,8,16,3,4,1
size,12,weak,12,2,2,1,1,0
size,12,strong,12,16,8,4,3,1
size,12,detuned,12,16,8,4,3,1
size,12,two_stage,12,16,8,4,3,1
size,16,weak,16,4,2,2,1,1
size,16,strong,16,32,16,5,4,1
size,16,detuned,16,16,16,4,4,0
size,16,two_stage,16,32,16,5,4,1
family,detuned,detuned,8,8,8,3,3,0
family,detuned,detuned,12,16,16,4,4,0
family,detuned,detuned,16,16,32,4,5,1
family,strong,strong,8,8,8,3,3,0
family,strong,strong,12,16,16,4,4,0
family,strong,strong,16,32,16,5,4,1
family,two_stage,two_stage,8,8,8,3,3,0
family,two_stage,two_stage,12,16,16,4,4,0
family,two_stage,two_stage,16,32,16,5,4,1
family,weak,weak,8,2,8,1,3,2
family,weak,weak,12,2,16,1,4,3
family,weak,weak,16,4,32,2,5,3
