family,n_qubits,rows,cols,dt_ns,precision,target_fidelity,pulse_duration_ns,pulse_segments,amplitude_max,amplitude_mean,detuning_max_abs,detuning_mean,rung,fidelity,reached_target,observed_max_chi,peak_rss_mb,step_seconds,wall_seconds,reference_max_chi,reference_wall_seconds
weak,8,2,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,1,0.9869775416030275,False,1,9.837568,1.4386951923370361,1.4524414900006377,8,4.762459544999729
weak,8,2,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,2,0.9979056315372402,True,2,9.837568,3.398021697998047,3.4122495869996783,8,4.762459544999729
weak,12,3,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,1,0.9730135169763728,False,1,10.328064,2.3433783054351807,2.3603014569998777,17,8.177819324002485
weak,12,3,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,2,0.9938506844929723,True,2,10.328064,5.557862997055054,5.574847284002317,17,8.177819324002485
weak,16,4,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,1,0.9593565115169378,False,1,11.616256,3.206069231033325,3.225515671998437,30,12.770001503999083
weak,16,4,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,2,0.9891656510540502,False,2,11.616256,7.6710426807403564,7.690655362999678,30,12.770001503999083
weak,16,4,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,4,0.9992707085214487,True,4,11.616256,9.827757120132446,9.847777344999486,30,12.770001503999083
strong,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,1,0.1066075309114218,False,1,11.616256,3.6084485054016113,3.6333372269982647,11,13.92801529499775
strong,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,2,0.16879301620167364,False,2,11.616256,9.106284618377686,9.132555821997812,11,13.92801529499775
strong,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,4,0.3696502936459756,False,4,11.616256,12.294001340866089,12.320587804002571,11,13.92801529499775
strong,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,8,0.9999999996654949,True,8,11.616256,13.378631591796875,13.405672369997774,11,13.92801529499775
