family,n_qubits,rows,cols,dt_ns,precision,target_fidelity,pulse_duration_ns,pulse_segments,amplitude_max,amplitude_mean,detuning_max_abs,detuning_mean,required_max_bond_dim,reference_max_chi,reference_peak_rss_mb,reference_step_seconds,reference_wall_seconds,reference_censored
weak,8,2,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,2,8,9.837568,4.747543096542358,4.762459544999729,False
weak,12,3,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,2,17,10.328064,8.161866426467896,8.177819324002485,False
weak,16,4,4,10.0,1e-06,0.99,400.0,1.0,1.5,1.5,0.0,0.0,4,30,11.616256,12.751413583755493,12.770001503999083,False
strong,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,8,11,11.616256,13.90233063697815,13.92801529499775,False
strong,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,16,29,11.616256,29.0999698638916,29.129941836999933,False
strong,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,0.0,0.0,32,60,17.486335999999998,49.16921925544739,49.20160548200147,False
detuned,8,2,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,8,11,17.486335999999998,13.876860618591309,13.903141669001343,False
detuned,12,3,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,16,26,17.486335999999998,27.776806116104126,27.806188864000433,False
detuned,16,4,4,10.0,1e-06,0.99,1000.0,1.0,5.0,5.0,5.0,-5.0,16,51,17.486335999999998,47.47279405593872,47.50502795200009,False
two_stage,8,2,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,8,11,17.486335999999998,14.002604961395264,14.028981729999941,False
two_stage,12,3,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,16,32,17.486335999999998,29.557405471801758,29.587640622001345,False
two_stage,16,4,4,10.0,1e-06,0.99,1000.0,2.0,5.0,3.5,5.0,2.5,32,74,19.7248,50.29447317123413,50.32735425499777,False
