amplitude_max,amplitude_mean,case_id,cols,detuning_max_abs,detuning_mean,dt_ns,family,n_qubits,precision,pulse_duration_ns,pulse_segments,reference_censored,reference_max_chi,reference_peak_rss_mb,reference_step_seconds,reference_wall_seconds,required_max_bond_dim,rows,target_fidelity
3.0,3.0,moderate__2x4,4,0.0,0.0,10.0,moderate,8,1e-06,700.0,1.0,False,11,9.944064,9.811638593673706,9.88440971,8,2,0.99
3.0,3.0,moderate__3x4,4,0.0,0.0,10.0,moderate,12,1e-06,700.0,1.0,False,25,10.804224,18.066184520721436,18.089424083000267,16,3,0.99
3.0,3.0,moderate__4x4,4,0.0,0.0,10.0,moderate,16,1e-06,700.0,1.0,False,51,14.906367999999999,30.803582191467285,30.829003967000062,16,4,0.99
4.0,2.75,two_stage_ramp__2x4,4,0.0,0.0,10.0,two_stage_ramp,8,1e-06,1000.0,2.0,False,11,14.906367999999999,13.211600542068481,13.237671277999652,8,2,0.99
4.0,2.75,two_stage_ramp__3x4,4,0.0,0.0,10.0,two_stage_ramp,12,1e-06,1000.0,2.0,False,28,14.906367999999999,25.974087476730347,26.004640258999643,16,3,0.99
4.0,2.75,two_stage_ramp__4x4,4,0.0,0.0,10.0,two_stage_ramp,16,1e-06,1000.0,2.0,False,63,17.596928,43.65464234352112,43.68791830899954,32,4,0.99
4.5,4.5,detuning_echo__2x4,4,4.0,0.0,10.0,detuning_echo,8,1e-06,1000.0,2.0,False,11,17.596928,13.773786306381226,13.800471614999879,8,2,0.99
4.5,4.5,detuning_echo__3x4,4,4.0,0.0,10.0,detuning_echo,12,1e-06,1000.0,2.0,False,29,17.596928,28.13590669631958,28.16642231900005,16,3,0.99
4.5,4.5,detuning_echo__4x4,4,4.0,0.0,10.0,detuning_echo,16,1e-06,1000.0,2.0,False,59,17.596928,47.576008796691895,47.60921281100036,32,4,0.99
5.0,3.25,strong_relax__2x4,4,0.0,0.0,10.0,strong_relax,8,1e-06,1000.0,2.0,False,12,17.596928,14.679172039031982,14.70581161500013,8,2,0.99
5.0,3.25,strong_relax__3x4,4,0.0,0.0,10.0,strong_relax,12,1e-06,1000.0,2.0,False,34,17.596928,30.311118125915527,30.341730110000753,16,3,0.99
5.0,3.25,strong_relax__4x4,4,0.0,0.0,10.0,strong_relax,16,1e-06,1000.0,2.0,False,79,20.783616,51.79601168632507,51.82903184099996,32,4,0.99
