family,circuit_variant,num_qubits,circuit_seed,candidate_count,flop_choice,oracle_choice,flop_choice_actual_s,oracle_actual_s,flop_selection_regret_ratio,flop_exact_fastest,native_actual_s,native_regret_ratio,scalar_spread
ghz,chain,10,42,7,native_time_tuned,random_path_1,7.264000177383422e-05,7.142399996519089e-05,1.0170251149366594,False,7.264000177383422e-05,1.0170251149366594,0.0
ghz,chain,12,42,7,native_time_tuned,random_path_1,8.214399963617325e-05,8.150400221347808e-05,1.007852343508468,False,8.214399963617325e-05,1.007852343508468,0.0
ghz,chain,8,42,7,native_time_tuned,random_path_3,6.960000097751617e-05,5.9776000678539275e-05,1.1643468982110057,False,6.960000097751617e-05,1.1643468982110057,0.0
hea,layers_4,10,42,7,native_time_tuned,native_time_tuned,0.00023183999955654145,0.00023183999955654145,1.0,True,0.00023183999955654145,1.0,3.2124638282837736e-08
hea,layers_4,12,42,7,native_time_tuned,native_time_tuned,0.00027744001150131227,0.00027744001150131227,1.0,True,0.00027744001150131227,1.0,1.9439673308585537e-08
hea,layers_4,8,42,7,native_time_tuned,native_time_tuned,0.0001919039934873581,0.0001919039934873581,1.0,True,0.0001919039934873581,1.0,8.263160993296492e-08
qaoa_cycle,p_3,10,42,7,native_time_tuned,native_time_tuned,0.0001812479943037033,0.0001812479943037033,1.0,True,0.0001812479943037033,1.0,5.410338400901882e-08
qaoa_cycle,p_3,12,42,7,native_time_tuned,native_time_tuned,0.0002128639966249466,0.0002128639966249466,1.0,True,0.0002128639966249466,1.0,9.64906041308819e-08
qaoa_cycle,p_3,8,42,7,native_time_tuned,native_time_tuned,0.00015036800503730774,0.00015036800503730774,1.0,True,0.00015036800503730774,1.0,1.2738169755110995e-07
qft,full,10,42,7,native_time_tuned,native_time_tuned,0.00015715199708938598,0.00015715199708938598,1.0,True,0.00015715199708938598,1.0,5.587935447692871e-09
qft,full,12,42,3,native_time_tuned,native_time_tuned,0.00021782399713993073,0.00021782399713993073,1.0,True,0.00021782399713993073,1.0,4.6566128730773926e-09
qft,full,8,42,7,native_time_tuned,native_time_tuned,0.00011382400244474411,0.00011382400244474411,1.0,True,0.00011382400244474411,1.0,1.1175870895385742e-08
random_brickwork,layers_8,10,42,6,native_time_tuned,native_time_tuned,0.00041200000047683714,0.00041200000047683714,1.0,True,0.00041200000047683714,1.0,4.3240858650650527e-08
random_brickwork,layers_8,12,42,5,native_time_tuned,native_time_tuned,0.0004923839867115021,0.0004923839867115021,1.0,True,0.0004923839867115021,1.0,4.2294219841643166e-08
random_brickwork,layers_8,8,42,7,native_time_tuned,native_time_tuned,0.0003310079872608185,0.0003310079872608185,1.0,True,0.0003310079872608185,1.0,3.5506360608617005e-08
