status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,candidate_plan,candidate_plan_source,operand_count,memory_limit,precision,path_optimization_s,pre_run_runtime_est_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,8,8,8,7,42,native_time_tuned,cuTensorNet TIME_TUNED,24,70%,complex64,0.00458168300019679,0.00023000113425,396.0,8.0,1,0.0016303679943084717,6.828799843788146e-05,6.224000081419944e-05,7.407999783754349e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,8,8,8,7,42,left_fold,explicit deterministic einsum path,24,70%,complex64,0.015384062000066479,,400288.0,65536.0,1,0.005357503890991211,7.891199737787246e-05,7.769600301980973e-05,8.563199639320374e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,8,8,8,7,42,right_fold,explicit deterministic einsum path,24,70%,complex64,0.002467713999976695,,16888.0,256.0,1,0.0002107200026512146,6.518399715423584e-05,6.201599910855294e-05,7.241600006818772e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,10,10,10,9,42,native_time_tuned,cuTensorNet TIME_TUNED,30,70%,complex64,0.004980945000170323,0.00029000144625,508.0,8.0,1,0.00021612800657749175,7.686399668455124e-05,7.414399832487107e-05,7.96480029821396e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,10,10,10,9,42,left_fold,explicit deterministic einsum path,30,70%,complex64,0.004182015999958821,,2148904.0,262144.0,1,0.002480031967163086,0.00010617599636316299,0.00010332799702882767,0.000114656001329422,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,10,10,10,9,42,right_fold,explicit deterministic einsum path,30,70%,complex64,0.0029456709999067243,,83960.0,1024.0,1,0.010975839614868164,8.49599987268448e-05,8.320000022649766e-05,9.42080020904541e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,native_time_tuned,cuTensorNet TIME_TUNED,36,70%,complex64,0.005226734000189026,0.00035000175825,628.0,8.0,1,0.00023001599311828612,8.262400329113006e-05,7.788799703121186e-05,8.607999980449676e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,left_fold,explicit deterministic einsum path,36,70%,complex64,0.006929186999968806,,71322576.0,1048576.0,1,0.0007230719923973084,0.0001698240041732788,0.00016787199676036835,0.00018217599391937256,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,right_fold,explicit deterministic einsum path,36,70%,complex64,0.0035703960002138047,,401400.0,4096.0,1,0.000243136003613472,0.0001011200025677681,9.84639972448349e-05,0.00010732799768447876,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,8,12,78,14,42,native_time_tuned,cuTensorNet TIME_TUNED,94,70%,complex64,0.01225868499977878,0.00093000619125,2968.0,16.0,1,0.0003418880105018616,0.0001836480051279068,0.0001828799992799759,0.0001955839991569519,-0.020059658214449883,0.007279788143932819,NVIDIA GeForce RTX 5070 Ti,12.0
