family,circuit_variant,num_qubits,circuit_seed,candidate_count,flop_choice,oracle_choice,flop_choice_actual_s,oracle_actual_s,flop_selection_regret_ratio,flop_exact_fastest,native_actual_s,native_regret_ratio,scalar_spread
ghz,chain,10,42,3,native_time_tuned,native_time_tuned,7.686399668455124e-05,7.686399668455124e-05,1.0,True,7.686399668455124e-05,1.0,0.0
ghz,chain,12,42,3,native_time_tuned,native_time_tuned,8.262400329113006e-05,8.262400329113006e-05,1.0,True,8.262400329113006e-05,1.0,0.0
ghz,chain,8,42,3,native_time_tuned,right_fold,6.828799843788146e-05,6.518399715423584e-05,1.0476190693906213,False,6.828799843788146e-05,1.0476190693906213,0.0
hea,layers_4,10,42,3,native_time_tuned,native_time_tuned,0.0002274560034275055,0.0002274560034275055,1.0,True,0.0002274560034275055,1.0,1.3253426793535805e-08
hea,layers_4,12,42,3,native_time_tuned,native_time_tuned,0.0002721599936485291,0.0002721599936485291,1.0,True,0.0002721599936485291,1.0,1.1515504470122062e-08
hea,layers_4,8,42,3,native_time_tuned,native_time_tuned,0.0001836480051279068,0.0001836480051279068,1.0,True,0.0001836480051279068,1.0,5.714814563587134e-08
qaoa_cycle,p_3,10,42,3,native_time_tuned,native_time_tuned,0.00018009600043296815,0.00018009600043296815,1.0,True,0.00018009600043296815,1.0,4.9481578201157617e-08
qaoa_cycle,p_3,12,42,3,native_time_tuned,native_time_tuned,0.00021158400177955628,0.00021158400177955628,1.0,True,0.00021158400177955628,1.0,9.371969722591494e-08
qaoa_cycle,p_3,8,42,3,native_time_tuned,native_time_tuned,0.00014716799557209015,0.00014716799557209015,1.0,True,0.00014716799557209015,1.0,1.2738169755110995e-07
qft,full,10,42,3,native_time_tuned,native_time_tuned,0.000155008003115654,0.000155008003115654,1.0,True,0.000155008003115654,1.0,5.587935447692871e-09
qft,full,12,42,3,native_time_tuned,native_time_tuned,0.00021939200162887572,0.00021939200162887572,1.0,True,0.00021939200162887572,1.0,4.6566128730773926e-09
qft,full,8,42,3,native_time_tuned,native_time_tuned,0.000111455999314785,0.000111455999314785,1.0,True,0.000111455999314785,1.0,7.450580596923828e-09
random_brickwork,layers_8,10,42,3,native_time_tuned,native_time_tuned,0.0004075520038604736,0.0004075520038604736,1.0,True,0.0004075520038604736,1.0,4.3240858650650527e-08
random_brickwork,layers_8,12,42,3,native_time_tuned,native_time_tuned,0.00048825600743293763,0.00048825600743293763,1.0,True,0.00048825600743293763,1.0,2.5542744561818376e-08
random_brickwork,layers_8,8,42,3,native_time_tuned,native_time_tuned,0.0003261440098285675,0.0003261440098285675,1.0,True,0.0003261440098285675,1.0,9.61369073237961e-09
