split,held_out_n_qubits,method,actual_family,inferred_family,family_inference_correct,actual_threshold,predicted_threshold,actual_rung,predicted_rung,absolute_rung_error
leave_one_size_out_known_family,8,shared_numeric,weak,weak,True,2,2,1,1,0
leave_one_size_out_known_family,8,inferred_family_residual,weak,weak,True,2,2,1,1,0
leave_one_size_out_known_family,8,shared_numeric,strong,strong,True,8,16,3,4,1
leave_one_size_out_known_family,8,inferred_family_residual,strong,strong,True,8,16,3,4,1
leave_one_size_out_known_family,8,shared_numeric,detuned,detuned,True,8,4,3,2,1
leave_one_size_out_known_family,8,inferred_family_residual,detuned,detuned,True,8,4,3,2,1
leave_one_size_out_known_family,8,shared_numeric,two_stage,two_stage,True,8,16,3,4,1
leave_one_size_out_known_family,8,inferred_family_residual,two_stage,two_stage,True,8,16,3,4,1
leave_one_size_out_known_family,8,shared_numeric,moderate,moderate,True,8,4,3,2,1
leave_one_size_out_known_family,8,inferred_family_residual,moderate,moderate,True,8,4,3,2,1
leave_one_size_out_known_family,8,shared_numeric,two_stage_ramp,two_stage_ramp,True,8,16,3,4,1
leave_one_size_out_known_family,8,inferred_family_residual,two_stage_ramp,two_stage_ramp,True,8,16,3,4,1
leave_one_size_out_known_family,8,shared_numeric,detuning_echo,detuning_echo,True,8,16,3,4,1
leave_one_size_out_known_family,8,inferred_family_residual,detuning_echo,detuning_echo,True,8,16,3,4,1
leave_one_size_out_known_family,8,shared_numeric,strong_relax,strong_relax,True,8,16,3,4,1
leave_one_size_out_known_family,8,inferred_family_residual,strong_relax,strong_relax,True,8,16,3,4,1
leave_one_size_out_known_family,12,shared_numeric,weak,weak,True,2,4,1,2,1
leave_one_size_out_known_family,12,inferred_family_residual,weak,weak,True,2,2,1,1,0
leave_one_size_out_known_family,12,shared_numeric,strong,strong,True,16,16,4,4,0
leave_one_size_out_known_family,12,inferred_family_residual,strong,strong,True,16,16,4,4,0
leave_one_size_out_known_family,12,shared_numeric,detuned,detuned,True,16,16,4,4,0
leave_one_size_out_known_family,12,inferred_family_residual,detuned,detuned,True,16,8,4,3,1
leave_one_size_out_known_family,12,shared_numeric,two_stage,two_stage,True,16,16,4,4,0
leave_one_size_out_known_family,12,inferred_family_residual,two_stage,two_stage,True,16,16,4,4,0
leave_one_size_out_known_family,12,shared_numeric,moderate,moderate,True,16,8,4,3,1
leave_one_size_out_known_family,12,inferred_family_residual,moderate,moderate,True,16,8,4,3,1
leave_one_size_out_known_family,12,shared_numeric,two_stage_ramp,two_stage_ramp,True,16,16,4,4,0
leave_one_size_out_known_family,12,inferred_family_residual,two_stage_ramp,two_stage_ramp,True,16,16,4,4,0
leave_one_size_out_known_family,12,shared_numeric,detuning_echo,detuning_echo,True,16,16,4,4,0
leave_one_size_out_known_family,12,inferred_family_residual,detuning_echo,detuning_echo,True,16,16,4,4,0
leave_one_size_out_known_family,12,shared_numeric,strong_relax,strong_relax,True,16,16,4,4,0
leave_one_size_out_known_family,12,inferred_family_residual,strong_relax,strong_relax,True,16,16,4,4,0
leave_one_size_out_known_family,16,shared_numeric,weak,weak,True,4,8,2,3,1
leave_one_size_out_known_family,16,inferred_family_residual,weak,weak,True,4,8,2,3,1
leave_one_size_out_known_family,16,shared_numeric,strong,strong,True,32,16,5,4,1
leave_one_size_out_known_family,16,inferred_family_residual,strong,strong,True,32,16,5,4,1
leave_one_size_out_known_family,16,shared_numeric,detuned,detuned,True,16,16,4,4,0
leave_one_size_out_known_family,16,inferred_family_residual,detuned,detuned,True,16,16,4,4,0
leave_one_size_out_known_family,16,shared_numeric,two_stage,two_stage,True,32,16,5,4,1
leave_one_size_out_known_family,16,inferred_family_residual,two_stage,two_stage,True,32,16,5,4,1
leave_one_size_out_known_family,16,shared_numeric,moderate,moderate,True,16,16,4,4,0
leave_one_size_out_known_family,16,inferred_family_residual,moderate,moderate,True,16,16,4,4,0
leave_one_size_out_known_family,16,shared_numeric,two_stage_ramp,two_stage_ramp,True,32,16,5,4,1
leave_one_size_out_known_family,16,inferred_family_residual,two_stage_ramp,two_stage_ramp,True,32,16,5,4,1
leave_one_size_out_known_family,16,shared_numeric,detuning_echo,detuning_echo,True,32,16,5,4,1
leave_one_size_out_known_family,16,inferred_family_residual,detuning_echo,detuning_echo,True,32,16,5,4,1
leave_one_size_out_known_family,16,shared_numeric,strong_relax,strong_relax,True,32,16,5,4,1
leave_one_size_out_known_family,16,inferred_family_residual,strong_relax,strong_relax,True,32,16,5,4,1
