family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,complex64_median_s,complex128_median_s,complex128_over_complex64_time_ratio,absolute_scalar_difference,relative_scalar_difference
ghz,chain,1.0,12,137,9.139200299978256e-05,0.00024355199933052062,2.664915871589991,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,1.0,12,42,9.209600090980529e-05,0.00024262399971485137,2.6344683516982075,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,1.0,16,137,0.00010592000186443329,0.00031894400715827944,3.011178262312485,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,1.0,16,42,0.00010271999984979629,0.0003187839984893799,3.1034267811090936,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,1.0,20,137,0.00012479999661445617,0.0003969919979572296,3.181025710951375,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,1.0,20,42,0.0001236800029873848,0.00039686399698257447,3.2087967933106705,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,1.0,8,137,6.71679973602295e-05,0.0001656000018119812,2.46545986660656,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,1.0,8,42,6.71679973602295e-05,0.00016655999422073364,2.4797522743971916,1.2101617041793133e-08,1.7114270947149224e-08
hea,layers_4,1.0,12,137,0.0002770240008831024,0.0009213759899139404,3.325978929539536,5.862769564975803e-09,2.575715153812633e-07
hea,layers_4,1.0,12,42,0.00027452799677848814,0.0009232320189476014,3.3629794767072196,5.862769564975803e-09,2.575715153812633e-07
hea,layers_4,1.0,16,137,0.00036028799414634705,0.0012305279970169067,3.415401059734099,4.003846226718697e-09,4.6492174407904526e-07
hea,layers_4,1.0,16,42,0.00036188799142837524,0.0012336640357971192,3.4089664896805107,4.003846226718697e-09,4.6492174407904526e-07
hea,layers_4,1.0,20,137,0.0004506880044937134,0.0015386879444122315,3.4140867497477285,8.466152219775167e-10,5.950704182886217e-07
hea,layers_4,1.0,20,42,0.00044809600710868835,0.0015393279790878295,3.4352637708607308,8.466152219775167e-10,5.950704182886217e-07
hea,layers_4,1.0,8,137,0.0001865919977426529,0.0006163520216941834,3.303207153311334,1.8829183287072934e-08,8.823523001129403e-07
hea,layers_4,1.0,8,42,0.00018665599822998048,0.0006142399907112121,3.290759453411198,1.8829183287072934e-08,8.823523001129403e-07
hea,layers_8,2.0,12,137,0.0004887680113315582,0.0016902400255203248,3.4581641726421046,1.49693485723145e-09,1.9927706687431299e-07
hea,layers_8,2.0,16,137,0.0006631360054016113,0.0022601919174194338,3.4083384087259847,1.1837123684856418e-09,2.245021552519519e-06
hea,layers_8,2.0,20,137,0.0008367360234260559,0.002834239959716797,3.3872570086224627,4.1171632476690636e-10,1.0827239347305403e-06
hea,layers_8,2.0,8,137,0.00032892799377441407,0.00112009596824646,3.4052923115283584,7.208097900540189e-09,1.6421825716612714e-07
qaoa_cycle,p_3,1.0,12,137,0.00021180799603462219,0.0007109439969062805,3.3565493759266265,4.163466012333293e-09,8.408117964061954e-07
qaoa_cycle,p_3,1.0,12,42,0.00021225599944591522,0.0007097600102424622,3.3438866844530137,4.163466012333293e-09,8.408117964061954e-07
qaoa_cycle,p_3,1.0,16,137,0.0002772800028324127,0.0009439359903335572,3.4042699822968103,9.070692072842365e-10,1.9356137762569014e-06
qaoa_cycle,p_3,1.0,16,42,0.0002802560031414032,0.0009418879747390747,3.360812843191248,9.070692072842365e-10,1.9356137762569014e-06
qaoa_cycle,p_3,1.0,20,137,0.00034691199660301207,0.001176416039466858,3.391107978353043,1.972105222762236e-10,1.803382984211388e-06
qaoa_cycle,p_3,1.0,20,42,0.00034851199388504026,0.0011763520240783692,3.3753559266783775,1.972105222762236e-10,1.803382984211388e-06
qaoa_cycle,p_3,1.0,8,137,0.00015014399588108063,0.0004761280119419098,3.171142536522207,1.989316050898201e-08,7.173722014020719e-07
