family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,family_depth_parameter,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,complex64_seconds,complex128_seconds,relative_scalar_difference,safe_complex64
ghz,chain,1.0,8.0,42,8.0,8.0,7.0,0.0,396.0,8.0,1.0,6.71679973602295e-05,0.00016655999422073364,1.7114270947149224e-08,True
ghz,chain,1.0,12.0,42,12.0,12.0,11.0,0.0,628.0,8.0,1.0,9.209600090980529e-05,0.00024262399971485137,1.7114270947149224e-08,True
ghz,chain,1.0,16.0,42,16.0,16.0,15.0,0.0,852.0,8.0,1.0,0.00010271999984979629,0.0003187839984893799,1.7114270947149224e-08,True
ghz,chain,1.0,20.0,42,20.0,20.0,19.0,0.0,1172.0,8.0,1.0,0.0001236800029873848,0.00039686399698257447,1.7114270947149224e-08,True
hea,layers_4,1.0,8.0,42,12.0,78.0,14.0,0.0,2968.0,16.0,1.0,0.00018665599822998048,0.0006142399907112121,8.823523001129403e-07,False
hea,layers_4,1.0,12.0,42,12.0,118.0,22.0,0.0,4968.0,32.0,1.0,0.00027452799677848814,0.0009232320189476014,2.575715153812633e-07,True
hea,layers_4,1.0,16.0,42,12.0,158.0,30.0,0.0,6712.0,32.0,1.0,0.00036188799142837524,0.0012336640357971192,4.6492174407904526e-07,True
hea,layers_4,1.0,20.0,42,12.0,198.0,38.0,0.0,8656.0,32.0,1.0,0.00044809600710868835,0.0015393279790878295,5.950704182886217e-07,False
qaoa_cycle,p_3,1.0,8.0,42,28.0,56.0,24.0,0.0,8920.0,64.0,1.0,0.00015104000270366668,0.00047702398896217347,7.173722014020719e-07,False
qaoa_cycle,p_3,1.0,12.0,42,40.0,84.0,36.0,0.0,15160.0,64.0,1.0,0.00021225599944591522,0.0007097600102424622,8.408117964061954e-07,False
qaoa_cycle,p_3,1.0,16.0,42,52.0,112.0,48.0,0.0,20952.0,64.0,1.0,0.0002802560031414032,0.0009418879747390747,1.9356137762569014e-06,False
qaoa_cycle,p_3,1.0,20.0,42,64.0,140.0,60.0,0.0,27192.0,64.0,1.0,0.00034851199388504026,0.0011763520240783692,1.803382984211388e-06,False
random_brickwork,layers_8,1.0,8.0,42,24.0,156.0,28.0,0.0,15592.0,128.0,1.0,0.00033113598823547363,0.0011181440353393555,5.227405517167985e-07,False
