family,circuit_variant,num_qubits,circuit_seed,complex64_median_s,complex128_median_s,complex128_over_complex64_time_ratio,absolute_scalar_difference,relative_scalar_difference
ghz,chain,12,42,9.209600090980529e-05,0.00024262399971485137,2.6344683516982075,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,16,42,0.00010271999984979629,0.0003187839984893799,3.1034267811090936,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,20,42,0.0001236800029873848,0.00039686399698257447,3.2087967933106705,1.2101617041793133e-08,1.7114270947149224e-08
ghz,chain,8,42,6.71679973602295e-05,0.00016655999422073364,2.4797522743971916,1.2101617041793133e-08,1.7114270947149224e-08
hea,layers_4,12,42,0.00027452799677848814,0.0009232320189476014,3.3629794767072196,5.862769564975803e-09,2.575715153812633e-07
hea,layers_4,16,42,0.00036188799142837524,0.0012336640357971192,3.4089664896805107,4.003846226718697e-09,4.6492174407904526e-07
hea,layers_4,20,42,0.00044809600710868835,0.0015393279790878295,3.4352637708607308,8.466152219775167e-10,5.950704182886217e-07
hea,layers_4,8,42,0.00018665599822998048,0.0006142399907112121,3.290759453411198,1.8829183287072934e-08,8.823523001129403e-07
qaoa_cycle,p_3,12,42,0.00021225599944591522,0.0007097600102424622,3.3438866844530137,4.163466012333293e-09,8.408117964061954e-07
qaoa_cycle,p_3,16,42,0.0002802560031414032,0.0009418879747390747,3.360812843191248,9.070692072842365e-10,1.9356137762569014e-06
qaoa_cycle,p_3,20,42,0.00034851199388504026,0.0011763520240783692,3.3753559266783775,1.972105222762236e-10,1.803382984211388e-06
qaoa_cycle,p_3,8,42,0.00015104000270366668,0.00047702398896217347,3.1582625822516164,1.989316050898201e-08,7.173722014020719e-07
qft,full,12,42,0.00022015999257564545,0.0008140159845352173,3.6973837753720264,3.7252902828494028e-09,2.3841857810236202e-07
qft,full,16,42,0.0004230720102787018,0.0018152639865875245,4.290673791895866,1.8626451444604675e-09,4.7683715698188026e-07
qft,full,20,42,0.0006889600157737732,0.0032275838851928713,4.684718722853548,5.238689464864832e-10,5.364418012021597e-07
qft,full,8,42,0.0001101439967751503,0.0003481279909610748,3.1606624160529493,1.1175870853752379e-08,1.7881393366003817e-07
random_brickwork,layers_8,12,42,0.0004915840029716492,0.0016889599561691283,3.4357504433815653,8.889911042437849e-10,4.75594498931929e-08
random_brickwork,layers_8,16,42,0.0006513919830322266,0.0022582080364227297,3.466742138751512,9.82140886798688e-10,4.757080736090146e-07
random_brickwork,layers_8,20,42,0.0008203840255737305,0.002829535961151123,3.449038344173394,1.404516904880839e-10,9.022482436670435e-07
random_brickwork,layers_8,8,42,0.00033113598823547363,0.0011181440353393555,3.3766913747358496,1.9531991043189263e-08,5.227405517167985e-07
