family,framework,mode,batch_size,size,num_qubits,depth,parameter_count,two_qubit_gate_density,mean_wall_ms,peak_vram_mb
qaoa,vqcsim,inference,1,16,16,96,4,0.5846153846153846,67.68063155565567,302.0
qaoa,vqcsim,inference,1,17,17,117,4,0.5971370143149284,84.17841855548936,304.0
qaoa,vqcsim,inference,1,18,18,120,4,0.5934959349593496,85.51658055562761,302.0
qaoa,vqcsim,inference,1,19,19,135,4,0.6017094017094017,102.18232066664415,320.0
qaoa,vqcsim,inference,1,20,20,138,4,0.6013071895424836,134.7839516667793,340.0
qaoa,vqcsim,inference,1,21,21,135,4,0.6033182503770739,206.30887788886162,364.0
qaoa,vqcsim,inference,1,22,22,156,4,0.6135265700483091,467.82545488885165,428.0
qaoa,vqcsim,inference,1,23,23,162,4,0.6079182630906769,876.6132163332763,556.0
qaoa,vqcsim,inference,1,24,24,177,4,0.6114942528735632,1864.0557702223707,812.0
qnn,vqcsim,inference,1,16,16,22,48,0.13513513513513514,27.557890333405847,302.0
qnn,vqcsim,inference,1,17,17,23,51,0.13559322033898305,29.29083711104694,304.0
qnn,vqcsim,inference,1,18,18,24,54,0.136,32.02036188880205,302.0
qnn,vqcsim,inference,1,19,19,25,57,0.13636363636363635,34.68855777777612,320.0
qnn,vqcsim,inference,1,20,20,26,60,0.1366906474820144,43.9334048888769,340.0
qnn,vqcsim,inference,1,21,21,27,63,0.136986301369863,62.79451422223145,364.0
qnn,vqcsim,inference,1,22,22,28,66,0.13725490196078433,113.43841311109928,428.0
qnn,vqcsim,inference,1,23,23,29,69,0.1375,224.8865747777826,556.0
qnn,vqcsim,inference,1,24,24,30,72,0.1377245508982036,440.37931455548255,812.0
vqe_real_amp,vqcsim,inference,1,16,16,24,64,0.41284403669724773,27.998173333394842,302.0
vqe_real_amp,vqcsim,inference,1,17,17,25,68,0.41379310344827586,29.461279666571098,304.0
vqe_real_amp,vqcsim,inference,1,18,18,26,72,0.4146341463414634,31.91857788877112,302.0
vqe_real_amp,vqcsim,inference,1,19,19,27,76,0.4153846153846154,34.38184622225688,320.0
vqe_real_amp,vqcsim,inference,1,20,20,28,80,0.41605839416058393,42.54263777774112,340.0
vqe_real_amp,vqcsim,inference,1,21,21,29,84,0.4166666666666667,59.85751511111125,364.0
vqe_real_amp,vqcsim,inference,1,22,22,30,88,0.41721854304635764,104.39895133327406,428.0
vqe_real_amp,vqcsim,inference,1,23,23,31,92,0.4177215189873418,206.41595366679314,556.0
vqe_real_amp,vqcsim,inference,1,24,24,32,96,0.41818181818181815,403.7605104444487,812.0
vqe_su2,vqcsim,inference,1,16,16,28,128,0.26011560693641617,53.130572111108954,302.0
vqe_su2,vqcsim,inference,1,17,17,29,136,0.2608695652173913,57.15141166668521,304.0
vqe_su2,vqcsim,inference,1,18,18,30,144,0.26153846153846155,60.306898333288295,302.0
vqe_su2,vqcsim,inference,1,19,19,31,152,0.2621359223300971,64.55728555556561,320.0
vqe_su2,vqcsim,inference,1,20,20,32,160,0.2626728110599078,78.89340544443257,340.0
vqe_su2,vqcsim,inference,1,21,21,33,168,0.2631578947368421,108.66230966672042,364.0
vqe_su2,vqcsim,inference,1,22,22,34,176,0.26359832635983266,182.26877866668983,428.0
vqe_su2,vqcsim,inference,1,23,23,35,184,0.264,347.9979454444522,556.0
vqe_su2,vqcsim,inference,1,24,24,36,192,0.26436781609195403,669.9043709999792,812.0
vqe_two_local,vqcsim,inference,1,16,16,66,64,0.8490566037735849,39.02848355563845,302.0
vqe_two_local,vqcsim,inference,1,17,17,70,68,0.8571428571428571,42.768717000096025,304.0
vqe_two_local,vqcsim,inference,1,18,18,74,72,0.864406779661017,46.79002188883411,302.0
vqe_two_local,vqcsim,inference,1,19,19,78,76,0.8709677419354839,53.984739333423526,320.0
vqe_two_local,vqcsim,inference,1,20,20,82,80,0.8769230769230769,82.22227588895394,340.0
vqe_two_local,vqcsim,inference,1,21,21,86,84,0.8823529411764706,145.77913433337622,364.0
vqe_two_local,vqcsim,inference,1,22,22,90,88,0.8873239436619719,342.17553455538206,428.0
vqe_two_local,vqcsim,inference,1,23,23,94,92,0.8918918918918919,802.572574222318,556.0
vqe_two_local,vqcsim,inference,1,24,24,98,96,0.8961038961038961,1721.697226888763,812.0
