timestamp_utc,family,size,framework,mode,batch_size,num_qubits,depth,total_gate_count,two_qubit_gate_count,two_qubit_gate_density,parameter_count,measurement_type,measurement_count,entanglement_class,entanglement_pattern_class,gate_histogram,parity_checked,parity_passed,parity_mode,parity_fidelity,parity_state_max_abs_diff,parity_probability_max_abs_diff,parity_expectation_max_abs_diff,parity_error,iters,warmup,repeats,prepare_ms,parity_ms,timed_stage_ms,mean_wall_ms,std_wall_ms,repeat_samples_ms,mean_kernel_ms,peak_vram_mb,vram_delta_peak_mb,vram_monitor_available,vram_monitor_reason,mean_gpu_utilization_pct,peak_gpu_utilization_pct,mean_gpu_memory_utilization_pct,peak_gpu_memory_utilization_pct,execution_device,training_gradient_policy,training_gradient_strategy,training_gradient_family,training_numgrad_objective_calls_per_step,training_num_trainable_parameters,vqcsim_compile_policy,vqcsim_batch_policy,terminal_status,error_message,support_reason,extras,qasm3_path,qasm3_bound_path,qasm2_parameterized_path,qasm2_bound_path
2026-09-20T02:49:22Z,qaoa,16,vqcsim,inference,1,16,96,390,228,0.5846153846153846,4,statevector_no_measurement,0,sparse_irregular,sparse_irregular,"{""cx"": 228, ""u"": 162}",True,True,statevector,0.9999999999969376,4.109409382870124e-08,1.0040348762899859e-09,7.450580591719658e-09,,3,1,3,21.69403300013073,498.707798000396,941.4146859999164,69.74798188892034,0.42756353217091875,"[70.13762400007788, 69.29058733324685, 69.81573433343631]",69.74798188892034,302.0,0.0,True,,20.651162790697676,21.0,0.0,0.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15262.3125, ""total_mb"": 15839.375, ""used_mb"": 577.0625, ""device_index"": 0}, ""estimate_required_mb"": 512.9, ""budget_mb"": 13480.081250000001, ""free_mb"": 15262.3125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15260.3125, ""total_mb"": 15839.375, ""used_mb"": 579.0625, ""device_index"": 0}, ""free_mb"": 15260.3125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": 7.657945388928056e-10}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_16.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_16.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_16.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_16.normalized.bound.qasm
2026-09-20T02:49:24Z,qaoa,17,vqcsim,inference,1,17,117,489,292,0.5971370143149284,4,statevector_no_measurement,0,dense,dense,"{""cx"": 292, ""u"": 197}",True,True,statevector,0.9999999999963607,3.275337869946576e-08,5.195057847855135e-10,2.98023223902974e-08,,3,1,3,22.988940999312035,179.4951410001886,1143.8929070000086,86.25468677786961,0.641520839652376,"[86.85785566679745, 86.32551266661419, 85.5806920001972]",86.25468677786961,304.0,0.0,True,,18.11320754716981,24.0,0.0,0.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""estimate_required_mb"": 513.8, ""budget_mb"": 13409.88125, ""free_mb"": 15184.3125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""free_mb"": 15184.3125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": 5.307168940427154e-11}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_17.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_17.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_17.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_17.normalized.bound.qasm
2026-09-20T02:49:26Z,qaoa,18,vqcsim,inference,1,18,120,492,292,0.5934959349593496,4,statevector_no_measurement,0,sparse_irregular,sparse_irregular,"{""cx"": 292, ""u"": 200}",True,True,statevector,0.9999999999963063,2.5370800991293198e-08,2.802071630281233e-10,2.9802322389213196e-08,,3,1,3,22.225157000320905,191.8385170001784,1181.9229149996318,89.97432333338413,0.7359934646330512,"[90.6896813333636, 89.21929866664868, 90.01399000014014]",89.97432333338413,302.0,0.0,True,,22.0,30.0,0.0,0.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""estimate_required_mb"": 515.6, ""budget_mb"": 13409.88125, ""free_mb"": 15184.3125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""free_mb"": 15184.3125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": -2.8990649880711317e-09}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_18.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_18.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_18.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_18.normalized.bound.qasm
2026-09-20T02:49:28Z,qaoa,19,vqcsim,inference,1,19,135,585,352,0.6017094017094017,4,statevector_no_measurement,0,dense,dense,"{""cx"": 352, ""u"": 233}",True,True,statevector,0.9999999999955205,2.2735557955504695e-08,1.8033736479564706e-10,2.421438693349723e-08,,3,1,3,28.243876000487944,257.0681289998902,1399.7895210004572,106.57706388893631,0.7872831750112107,"[107.44249066677487, 105.9033273334838, 106.38537366655025]",106.57706388893631,320.0,0.0,True,,34.84615384615385,41.0,0.0,0.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""estimate_required_mb"": 519.2, ""budget_mb"": 13409.88125, ""free_mb"": 15184.3125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""free_mb"": 15184.3125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": 1.6673431524338866e-09}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_19.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_19.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_19.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_19.normalized.bound.qasm
2026-09-20T02:49:32Z,qaoa,20,vqcsim,inference,1,20,138,612,368,0.6013071895424836,4,statevector_no_measurement,0,sparse_irregular,sparse_irregular,"{""cx"": 368, ""u"": 244}",True,True,statevector,0.9999999999954632,1.7473563681261527e-08,1.2612458057725058e-10,1.8626451491225368e-08,,3,1,3,19.856906999848434,299.45435499939776,1780.898884000635,136.74817755549563,0.1644814926637797,"[136.57552666669895, 136.9030443332425, 136.7659616665454]",136.74817755549563,340.0,0.0,True,,53.0,53.0,17.304878048780488,18.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""estimate_required_mb"": 526.4, ""budget_mb"": 13409.88125, ""free_mb"": 15184.3125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""free_mb"": 15184.3125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": 2.3865140419410125e-10}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_20.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_20.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_20.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_20.normalized.bound.qasm
2026-09-20T02:49:38Z,qaoa,21,vqcsim,inference,1,21,135,663,400,0.6033182503770739,4,statevector_no_measurement,0,sparse_irregular,sparse_irregular,"{""cx"": 400, ""u"": 263}",True,True,statevector,0.9999999999950653,1.2900018379033594e-08,6.389989113098863e-11,2.98023223860148e-08,,3,1,3,19.900020000022778,477.7014559995223,2736.651621999954,209.6367490000072,0.21410036179083408,"[209.56909333350873, 209.46464966649123, 209.87650400002167]",209.6367490000072,364.0,0.0,True,,66.97619047619048,68.0,24.095238095238095,25.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.3125, ""total_mb"": 15839.375, ""used_mb"": 655.0625, ""device_index"": 0}, ""estimate_required_mb"": 540.8, ""budget_mb"": 13409.88125, ""free_mb"": 15184.3125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15192.375, ""total_mb"": 15839.375, ""used_mb"": 647.0, ""device_index"": 0}, ""free_mb"": 15192.375, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": 1.0200199573873192e-09}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_21.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_21.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_21.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_21.normalized.bound.qasm
2026-09-20T02:49:53Z,qaoa,22,vqcsim,inference,1,22,156,828,508,0.6135265700483091,4,statevector_no_measurement,0,dense,dense,"{""cx"": 508, ""u"": 320}",True,True,statevector,0.9999999999937635,1.051852376596901e-08,4.333567913849032e-11,4.4703483582166385e-08,,3,1,3,44.57561599974724,1065.0289700006397,6119.20426100005,470.6940132222776,0.37441127696338405,"[471.0874513336118, 470.3420890000416, 470.65249933317926]",470.6940132222776,428.0,0.0,True,,80.37366548042705,84.0,57.17437722419929,61.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15192.375, ""total_mb"": 15839.375, ""used_mb"": 647.0, ""device_index"": 0}, ""estimate_required_mb"": 569.6, ""budget_mb"": 13417.1375, ""free_mb"": 15192.375, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15183.8125, ""total_mb"": 15839.375, ""used_mb"": 655.5625, ""device_index"": 0}, ""free_mb"": 15183.8125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": 5.162622551679874e-10}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_22.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_22.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_22.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_22.normalized.bound.qasm
2026-09-20T02:50:35Z,qaoa,23,vqcsim,inference,1,23,162,783,476,0.6079182630906769,4,statevector_no_measurement,0,sparse_irregular,sparse_irregular,"{""cx"": 476, ""u"": 307}",True,True,statevector,0.9999999999939645,6.91584050764512e-09,1.74403695034597e-11,1.415610316052307e-07,,3,1,3,53.79382900082419,2081.5940060001594,11545.716602000539,887.2813445555544,11.524784364964846,"[900.5887159998261, 880.7054636666484, 880.5498540001887]",887.2813445555544,556.0,0.0,True,,89.86792452830188,91.0,67.09245283018868,69.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15183.8125, ""total_mb"": 15839.375, ""used_mb"": 655.5625, ""device_index"": 0}, ""estimate_required_mb"": 627.2, ""budget_mb"": 13409.43125, ""free_mb"": 15183.8125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15186.375, ""total_mb"": 15839.375, ""used_mb"": 653.0, ""device_index"": 0}, ""free_mb"": 15186.375, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": -1.850821718107909e-09}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_23.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_23.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_23.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_23.normalized.bound.qasm
2026-09-20T02:52:08Z,qaoa,24,vqcsim,inference,1,24,177,870,532,0.6114942528735632,4,statevector_no_measurement,0,sparse_irregular,sparse_irregular,"{""cx"": 532, ""u"": 338}",True,True,statevector,0.9999999999933246,5.615631833045464e-09,1.0588049081086154e-11,2.086744474742372e-08,,3,1,3,32.98402099972009,4222.001985000134,24247.943356999713,1864.8761790000208,0.29974651012798875,"[1864.5785189998303, 1865.177969333369, 1864.8720486668633]",1864.8761790000208,812.0,0.0,True,,94.66576576576577,96.0,71.64774774774774,75.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15184.375, ""total_mb"": 15839.375, ""used_mb"": 655.0, ""device_index"": 0}, ""estimate_required_mb"": 742.4, ""budget_mb"": 13409.9375, ""free_mb"": 15184.375, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15183.8125, ""total_mb"": 15839.375, ""used_mb"": 655.5625, ""device_index"": 0}, ""free_mb"": 15183.8125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": 1.3555261080266945e-10}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_24.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_24.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_24.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qaoa/qaoa_alg_size_24.normalized.bound.qasm
2026-09-20T02:54:50Z,qnn,16,vqcsim,inference,1,16,22,111,15,0.13513513513513514,48,terminal_basis_measurement,16,line_like,line_like,"{""cx"": 15, ""u"": 96}",True,True,statevector,0.9999999999998017,3.841771588663597e-08,5.3903932975205016e-09,3.216907411562886e-07,,3,1,3,5.89686300008907,62.03909200030466,390.42106800025067,28.855581666701053,0.15199562030920016,"[28.982062999906095, 28.68696300023051, 28.897718999966553]",28.855581666701053,302.0,0.0,True,,15.0,15.0,10.0,10.0,cuda,,,,,,prepare_once,vectorized,ok,,,"{""circuit_reuse"": {""reused_from_archive"": false, ""reused_from_path"": null, ""reuse_fallback_reason"": null}, ""gpu_preflight"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15183.8125, ""total_mb"": 15839.375, ""used_mb"": 655.5625, ""device_index"": 0}, ""estimate_required_mb"": 512.9, ""budget_mb"": 13409.43125, ""free_mb"": 15183.8125, ""fraction"": 0.9, ""headroom_mb"": 256.0}, ""device"": ""cuda"", ""vqcsim_compile_policy"": ""prepare_once"", ""vqcsim_batch_policy"": ""vectorized"", ""gpu_post_prepare"": {""guard_active"": true, ""snapshot"": {""available"": true, ""reason"": null, ""source"": ""torch.cuda.mem_get_info"", ""free_mb"": 15183.8125, ""total_mb"": 15839.375, ""used_mb"": 655.5625, ""device_index"": 0}, ""free_mb"": 15183.8125, ""required_min_free_mb"": 256.0}, ""inference_output_mean"": -0.06768068671226501}",/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qnn/qnn_alg_size_16.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qnn/qnn_alg_size_16.bound.qasm3,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qnn/qnn_alg_size_16.normalized.qasm,/home/server/Documents/quantum-runtime-estimator-replications/artifacts/simulator_papers/vqcsim_rq2_gpu_fp32_mirror_16_24_20260920/circuits/qnn/qnn_alg_size_16.normalized.bound.qasm
