family,framework,mode,batch_size,size,num_qubits,depth,parameter_count,two_qubit_gate_density,mean_wall_ms,peak_vram_mb
qaoa,vqcsim,inference,1,16,16,96,4,0.5846153846153846,69.74798188892034,302.0
qaoa,vqcsim,inference,1,17,17,117,4,0.5971370143149284,86.25468677786961,304.0
qaoa,vqcsim,inference,1,18,18,120,4,0.5934959349593496,89.97432333338413,302.0
qaoa,vqcsim,inference,1,19,19,135,4,0.6017094017094017,106.57706388893631,320.0
qaoa,vqcsim,inference,1,20,20,138,4,0.6013071895424836,136.74817755549563,340.0
qaoa,vqcsim,inference,1,21,21,135,4,0.6033182503770739,209.6367490000072,364.0
qaoa,vqcsim,inference,1,22,22,156,4,0.6135265700483091,470.6940132222776,428.0
qaoa,vqcsim,inference,1,23,23,162,4,0.6079182630906769,887.2813445555544,556.0
qaoa,vqcsim,inference,1,24,24,177,4,0.6114942528735632,1864.8761790000208,812.0
qnn,vqcsim,inference,1,16,16,22,48,0.13513513513513514,28.855581666701053,302.0
qnn,vqcsim,inference,1,17,17,23,51,0.13559322033898305,30.752066222198156,304.0
qnn,vqcsim,inference,1,18,18,24,54,0.136,32.886753777852896,302.0
qnn,vqcsim,inference,1,19,19,25,57,0.13636363636363635,35.555141555455016,320.0
qnn,vqcsim,inference,1,20,20,26,60,0.1366906474820144,44.7189676665908,340.0
qnn,vqcsim,inference,1,21,21,27,63,0.136986301369863,64.13526577772346,364.0
qnn,vqcsim,inference,1,22,22,28,66,0.13725490196078433,113.88860200006296,428.0
qnn,vqcsim,inference,1,23,23,29,69,0.1375,225.22640466660152,556.0
qnn,vqcsim,inference,1,24,24,30,72,0.1377245508982036,440.6563853333662,812.0
vqe_real_amp,vqcsim,inference,1,16,16,24,64,0.41284403669724773,28.837872000015825,302.0
vqe_real_amp,vqcsim,inference,1,17,17,25,68,0.41379310344827586,30.131177000031233,304.0
vqe_real_amp,vqcsim,inference,1,18,18,26,72,0.4146341463414634,32.17655977783175,302.0
vqe_real_amp,vqcsim,inference,1,19,19,27,76,0.4153846153846154,34.88229288884921,320.0
vqe_real_amp,vqcsim,inference,1,20,20,28,80,0.41605839416058393,44.05507011112301,340.0
vqe_real_amp,vqcsim,inference,1,21,21,29,84,0.4166666666666667,60.04091011103204,364.0
vqe_real_amp,vqcsim,inference,1,22,22,30,88,0.41721854304635764,105.17306211103357,428.0
vqe_real_amp,vqcsim,inference,1,23,23,31,92,0.4177215189873418,206.9837574445046,556.0
vqe_real_amp,vqcsim,inference,1,24,24,32,96,0.41818181818181815,406.3167492222419,812.0
vqe_su2,vqcsim,inference,1,16,16,28,128,0.26011560693641617,54.45271222217545,302.0
vqe_su2,vqcsim,inference,1,17,17,29,136,0.2608695652173913,57.87316077789405,304.0
vqe_su2,vqcsim,inference,1,18,18,30,144,0.26153846153846155,61.890592444494054,302.0
vqe_su2,vqcsim,inference,1,19,19,31,152,0.2621359223300971,66.53430422223512,320.0
vqe_su2,vqcsim,inference,1,20,20,32,160,0.2626728110599078,79.99726733325791,340.0
vqe_su2,vqcsim,inference,1,21,21,33,168,0.2631578947368421,108.90703311118462,364.0
vqe_su2,vqcsim,inference,1,22,22,34,176,0.26359832635983266,183.9198381110489,428.0
vqe_su2,vqcsim,inference,1,23,23,35,184,0.264,349.8907955555398,556.0
vqe_su2,vqcsim,inference,1,24,24,36,192,0.26436781609195403,669.8690955555422,812.0
vqe_two_local,vqcsim,inference,1,16,16,66,64,0.8490566037735849,40.25569255544623,302.0
vqe_two_local,vqcsim,inference,1,17,17,70,68,0.8571428571428571,44.158265000078245,304.0
vqe_two_local,vqcsim,inference,1,18,18,74,72,0.864406779661017,47.95281744433547,302.0
vqe_two_local,vqcsim,inference,1,19,19,78,76,0.8709677419354839,54.243340666693655,320.0
vqe_two_local,vqcsim,inference,1,20,20,82,80,0.8769230769230769,83.08871844433776,340.0
vqe_two_local,vqcsim,inference,1,21,21,86,84,0.8823529411764706,147.55521377780192,364.0
vqe_two_local,vqcsim,inference,1,22,22,90,88,0.8873239436619719,343.691835222267,428.0
vqe_two_local,vqcsim,inference,1,23,23,94,92,0.8918918918918919,801.6949638888237,556.0
vqe_two_local,vqcsim,inference,1,24,24,98,96,0.8961038961038961,1723.5158329999147,812.0
