family,execution_device,precision,rows,median_seconds,max_seconds
ghz,cpu,complex128,3,0.0525117579963989,1.5755617190006888
ghz,cpu,complex64,3,0.0205437810000148,0.7723625369981164
ghz,cuda,complex128,3,0.0193173799998476,0.3812260300037451
ghz,cuda,complex64,3,0.0011870710004586,0.0309904329988057
hea,cpu,complex128,6,0.2673151685012271,12.293658210001013
hea,cpu,complex64,6,0.03777229350089325,5.989411141999881
hea,cuda,complex128,6,0.24255169000025484,6.3317400610030745
hea,cuda,complex64,6,0.0123522975009109,0.3667628090042854
qaoa_cycle,cpu,complex128,6,0.3774253694973595,13.754162188997723
qaoa_cycle,cpu,complex64,6,0.04882003299644565,6.824745999998413
qaoa_cycle,cuda,complex128,6,0.19980187950204703,5.023979042001884
qaoa_cycle,cuda,complex64,6,0.010712660499848349,0.342520043006516
qft,cpu,complex128,3,0.5894385009960388,19.89616015599313
qft,cpu,complex64,3,0.0803397720010252,10.11198044900084
qft,cuda,complex128,3,0.2193970190055552,5.102079718002642
qft,cuda,complex64,3,0.0126748719994793,0.4043753710066085
random_brickwork,cpu,complex128,6,0.6060515504977957,24.011544341003173
random_brickwork,cpu,complex64,6,0.07593657999677811,12.519419385993388
random_brickwork,cuda,complex128,6,0.4850399999959336,12.662863762001509
random_brickwork,cuda,complex64,6,0.02465708199815705,0.734370113001205
