split,model,folds,n_test,mae_log,rmse_log,r2_log,mae_seconds,rmse_seconds,r2_seconds
circuit_group,analytical_calibrated_ridge,5,204,0.4252006741252512,0.5410565710853463,0.9633482055417767,1.0208278491529148,2.719857288166902,0.8590855490149681
circuit_group,analytical_hgb,5,204,0.304331358494095,0.5240094637343653,0.9656214027911094,0.7494834126770443,2.7204711448877053,0.8590219346153436
circuit_group,graph_hgb,5,204,0.227960032648254,0.41173990742068933,0.9787746033091925,0.7740067610778021,2.970036265440544,0.8319700092902202
circuit_group,graph_hgb_with_family,5,204,0.22724102560366588,0.4140003753937601,0.9785409070715784,0.7603245974592133,2.9385025423836253,0.8355191125921986
circuit_group,logical_hgb,5,204,0.22176846881683293,0.40579983315265966,0.9793826131919534,0.6649223934656456,2.51800775377496,0.8792248946333757
circuit_group,median_log,5,204,2.549090046429325,2.940910197568246,-0.08286275686425615,3.1136740739204027,7.831559608565453,-0.1683146283895376
circuit_group,structural_ridge,5,204,0.5024885220885726,0.6847184865902185,0.9413005546574802,1.0770670199496246,2.796983046372481,0.8509805463803308
family_held_out,analytical_calibrated_ridge,7,204,0.4208806522506015,0.5324387886720319,0.9645064642837592,1.0291338717699543,2.7391844137166945,0.8570757761485401
family_held_out,analytical_hgb,7,204,0.3101210403555935,0.5249277408443059,0.965500806725616,0.7167132660021005,3.028362020421618,0.8253056413436886
family_held_out,graph_hgb,7,204,0.3012392315024796,0.5222064421323963,0.9658575768204412,0.8544152069281478,3.270823153662013,0.7962125544027849
family_held_out,graph_hgb_with_family,7,204,0.2991316728252289,0.5093056832237768,0.9675236707699644,0.8754319943391238,3.338279507007066,0.7877201893104473
family_held_out,logical_hgb,7,204,0.288414559163958,0.500167659574062,0.9686786043887528,0.6828612892398976,2.7111227327826484,0.8599891616749441
family_held_out,median_log,7,204,2.4777013051773498,2.8621278046869683,-0.025623435917807136,3.0994277542039947,7.832930387370204,-0.16872365064498207
family_held_out,structural_ridge,7,204,0.5974210788823373,0.7389117084621704,0.9316411123557174,1.4287883621359927,3.741736857511653,0.733308126272965
random_row,analytical_calibrated_ridge,1,51,0.4310998352267266,0.5725375515374502,0.9616121742409466,1.2326831604353032,3.097860968181231,0.8726074202771628
random_row,analytical_hgb,1,51,0.1986404172747471,0.32733838803915266,0.987451857531803,0.8010998265893639,3.101769133719923,0.872285788451473
random_row,graph_hgb,1,51,0.19486224214485162,0.2873676382433223,0.9903292249920717,1.2350305676594489,4.407126972323482,0.7421712086311698
random_row,graph_hgb_with_family,1,51,0.19919779525463613,0.28703483324743484,0.9903516117755583,1.239851978326417,4.405149426054907,0.7424025402785581
random_row,logical_hgb,1,51,0.21017745926032502,0.31010001169411905,0.9887386844651006,1.0945279345335313,3.835215375379537,0.8047460617521254
random_row,median_log,1,51,2.5903863095501536,2.9430677456777157,-0.014345905121701419,3.8846957789997654,9.458994796621086,-0.18770958106315772
random_row,structural_ridge,1,51,0.43306219855111616,0.5871901830818214,0.9596221551884939,1.1106203218985782,2.7642497288495163,0.8985680352112297
seed_held_out_structural,analytical_calibrated_ridge,3,72,0.314578580830976,0.37005678653160456,0.978922839197444,0.5300322662922813,1.4490365521131159,0.8391262339365118
seed_held_out_structural,analytical_hgb,3,72,0.034458982195982535,0.04680099317970002,0.9996628792368377,0.1049999377100348,0.2850780868105554,0.9937733533882149
seed_held_out_structural,graph_hgb,3,72,0.033311907696022214,0.04471832717013417,0.999692215701635,0.10862257541813977,0.2945800090063759,0.9933513558444746
seed_held_out_structural,graph_hgb_with_family,3,72,0.033311907696022214,0.04471832717013417,0.999692215701635,0.10862257541813977,0.2945800090063759,0.9933513558444746
seed_held_out_structural,logical_hgb,3,72,0.03692359559857693,0.04262448859396296,0.9997203635853315,0.08835297785128075,0.24396311835515505,0.9954398944080157
seed_held_out_structural,median_log,3,72,2.2623770193833845,2.5578923045485245,-0.007024120757654906,1.7036830674167303,3.9579931647315023,-0.200263576385048
seed_held_out_structural,structural_ridge,3,72,0.29619735808728515,0.3393210239228943,0.9822786460391499,0.4183212907232698,1.1421838790380936,0.9000463633905802
width_held_out,analytical_calibrated_ridge,5,204,0.7857615428367076,0.9974393322648105,0.8754387750855239,1.513641552436966,3.763410158068795,0.730209654412229
width_held_out,analytical_hgb,5,204,0.8833499404954562,1.098070228467393,0.8490371367382821,2.3817893334525726,6.018106412000305,0.3101049575534853
width_held_out,graph_hgb,5,204,1.3712124141731585,1.5055836627778276,0.716195238356466,2.5048837306078053,6.099262339346558,0.2913726246241126
width_held_out,graph_hgb_with_family,5,204,1.3676151751308967,1.5014738064723336,0.7177425516493682,2.5053858908242113,6.10616684875731,0.2897673505927424
width_held_out,logical_hgb,5,204,1.330311466833049,1.4697671049178986,0.7295375754534896,2.473075510449437,6.064168405861959,0.2995037645393045
width_held_out,median_log,5,204,3.471361457363367,3.9347826804257737,-0.9384356700362055,3.2932188319702127,7.871369551957685,-0.18022253802675836
width_held_out,structural_ridge,5,204,0.8021282482984775,1.022214396258295,0.8691740561510656,1.4940186620514255,3.585894235480855,0.7550608248611133
