analytical_gate_work,circuit_id,circuit_template_id,cold_post_prepare_seconds,cold_semantics,cold_z0_expectation,compile_or_transpile_semantics,context_id,depth_parameter,device_total_memory_bytes,end_to_end_execution_component_seconds,end_to_end_first_seconds,end_to_end_z0_expectation,error,execution_device,family,gate_materialization_seconds,interaction_density,interaction_unique_edge_count,log2_analytical_gate_work,log2_statevector_bytes,logical_depth,logical_gate_histogram,logical_single_qubit_gate_count,logical_total_gate_count,logical_two_qubit_gate_count,num_qubits,peak_reserved_over_statevector,precision,qubit_activity_max,qubit_activity_mean,qubit_activity_std,record_id,recorded_utc,repeat_count,resource_limit_kind,runtime_semantics,sampling_semantics,schema_version,seed,simulator,source_run_kind,statevector_bytes,statevector_fits_raw_device_memory,status,torch_cuda_peak_allocated_bytes,torch_cuda_peak_reserved_bytes,traceback,two_qubit_degree_max,two_qubit_degree_std,two_qubit_span_max,two_qubit_span_mean,warm_execution_mean_seconds,warm_execution_median_seconds,warm_execution_seconds_samples,warm_execution_stdev_seconds,warm_z0_expectation,warmup_count
10485760,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2,dacf537ceaf94a143f41535ea594ed201e7f863f65e8557979bb04498b6fb285,0.012119326995161828,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.3799234926700592,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex64,4,,0.015164683005423285,0.016282499993394595,0.3799234926700592,,cpu,random_matching,0.0004721769946627319,0.25833333333333336,31,23.32192809488736,19.0,12,"{""cx"": 32, ""ry"": 64, ""rz"": 64}",128,160,32,16,,complex64,12,12.0,0.0,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2:cpu:complex64,2026-09-20T14:28:49+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,524288,,ok,,,,4,0.0,15,5.125,0.012029077001595093,0.012017781999020372,"[0.012066047005646396, 0.012003402000118513, 0.012017781999020372]",3.281435648872882e-05,0.3799234926700592,1
10485760,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2,dacf537ceaf94a143f41535ea594ed201e7f863f65e8557979bb04498b6fb285,0.03386551899893675,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.37992343617105295,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex128,4,,0.037036723995697685,0.03907731299841544,0.37992343617105295,,cpu,random_matching,0.00046994500007713214,0.25833333333333336,31,23.32192809488736,20.0,12,"{""cx"": 32, ""ry"": 64, ""rz"": 64}",128,160,32,16,,complex128,12,12.0,0.0,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2:cpu:complex128,2026-09-20T14:28:49+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,1048576,,ok,,,,4,0.0,15,5.125,0.033856130333636734,0.033886216006067116,"[0.033886216006067116, 0.03378158299892675, 0.03390059199591633]",6.495880313943298e-05,0.37992343617105295,1
10485760,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2,dacf537ceaf94a143f41535ea594ed201e7f863f65e8557979bb04498b6fb285,0.0034914299976662733,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.37992340326309204,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex64,4,16608788480,0.07363240399718052,0.07610291099990718,0.37992340326309204,,cuda,random_matching,0.001580455995281227,0.25833333333333336,31,23.32192809488736,19.0,12,"{""cx"": 32, ""ry"": 64, ""rz"": 64}",128,160,32,16,44.0,complex64,12,12.0,0.0,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2:cuda:complex64,2026-09-20T14:28:49+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,524288,True,ok,10436608,23068672,,4,0.0,15,5.125,0.0032731723355633826,0.003270047003752552,"[0.003307878003397491, 0.003270047003752552, 0.0032415919995401055]",3.325333593853661e-05,0.37992340326309204,1
10485760,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2,dacf537ceaf94a143f41535ea594ed201e7f863f65e8557979bb04498b6fb285,0.017957575000764336,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.37992343617105295,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex128,4,16608788480,0.1484989590026089,0.15102314000250772,0.37992343617105295,,cuda,random_matching,0.001644606003537774,0.25833333333333336,31,23.32192809488736,20.0,12,"{""cx"": 32, ""ry"": 64, ""rz"": 64}",128,160,32,16,24.0,complex128,12,12.0,0.0,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2:cuda:complex128,2026-09-20T14:28:50+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,1048576,True,ok,12271616,25165824,,4,0.0,15,5.125,0.017921326999688365,0.017923130995768588,"[0.017928146000485867, 0.017923130995768588, 0.017912704002810642]",7.877475765973992e-06,0.37992343617105295,1
20971520,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd,51cf6f15d01e17640f3f6429f22739d77b26f81d0c765b1f9c33918c0176b490,0.024589450993516948,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.02151709794998169,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex64,8,,0.030752068996662274,0.03345987899956526,0.02151709794998169,,cpu,random_matching,0.000801081994723063,0.4583333333333333,55,24.32192809488736,19.0,24,"{""cx"": 64, ""ry"": 128, ""rz"": 128}",256,320,64,16,,complex64,24,24.0,0.0,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd:cpu:complex64,2026-09-20T14:28:50+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,524288,,ok,,,,8,0.0,15,5.3125,0.024008349665867474,0.024005177998333238,"[0.02405816499958746, 0.024005177998333238, 0.023961705999681726]",4.830765231217989e-05,0.02151709794998169,1
20971520,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd,51cf6f15d01e17640f3f6429f22739d77b26f81d0c765b1f9c33918c0176b490,0.031948725001711864,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.02151709265063456,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex128,8,,0.03336987199872965,0.03668395300337579,0.02151709265063456,,cpu,random_matching,0.0008171039953595027,0.4583333333333333,55,24.32192809488736,20.0,24,"{""cx"": 64, ""ry"": 128, ""rz"": 128}",256,320,64,16,,complex128,24,24.0,0.0,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd:cpu:complex128,2026-09-20T14:28:50+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,1048576,,ok,,,,8,0.0,15,5.3125,0.030853479668924894,0.03075370399892563,"[0.03075370399892563, 0.031126430003496353, 0.030680305004352704]",0.0002392138519360489,0.02151709265063456,1
20971520,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd,51cf6f15d01e17640f3f6429f22739d77b26f81d0c765b1f9c33918c0176b490,0.006869709999591578,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.021517068147659302,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex64,8,16608788480,0.009417496003152337,0.016027497993491124,0.021517068147659302,,cuda,random_matching,0.003356761997565627,0.4583333333333333,55,24.32192809488736,19.0,24,"{""cx"": 64, ""ry"": 128, ""rz"": 128}",256,320,64,16,44.0,complex64,24,24.0,0.0,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd:cuda:complex64,2026-09-20T14:28:50+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,524288,True,ok,10518528,23068672,,8,0.0,15,5.3125,0.006349413333130845,0.006311436998657882,"[0.0064753059996291995, 0.006311436998657882, 0.006261497001105454]",0.00011184911017720944,0.021517068147659302,1
20971520,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd,51cf6f15d01e17640f3f6429f22739d77b26f81d0c765b1f9c33918c0176b490,0.03576452899869764,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,0.021517092650634617,not_applicable: direct gate schedule; no compiler/transpiler,cuda:complex128,8,16608788480,0.03588863899494754,0.041846262000035495,0.021517092650634617,,cuda,random_matching,0.003162574997986667,0.4583333333333333,55,24.32192809488736,20.0,24,"{""cx"": 64, ""ry"": 128, ""rz"": 128}",256,320,64,16,24.0,complex128,24,24.0,0.0,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd:cuda:complex128,2026-09-20T14:28:50+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,1048576,True,ok,12353536,25165824,,8,0.0,15,5.3125,0.035746331666208185,0.03574677299911855,"[0.035747975001868326, 0.03574677299911855, 0.035744246997637674]",1.902783471461826e-06,0.021517092650634617,1
209715200,4dc21b03b5e6a8c899a52bd588c0d5de027631392a9d253654c00cb16bdb9dc0,2f8b1b9c99f98e2f9bba804a46afb981d61960d0ee2300e3743994df18d75397,0.15287445099966135,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,-0.2857097387313843,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex64,4,,0.15639317900058813,0.15879251700243913,-0.2857097387313843,,cpu,random_matching,0.0005768929986516014,0.19473684210526315,37,27.643856189774723,23.0,12,"{""cx"": 40, ""ry"": 80, ""rz"": 80}",160,200,40,20,,complex64,12,12.0,0.0,4dc21b03b5e6a8c899a52bd588c0d5de027631392a9d253654c00cb16bdb9dc0:cpu:complex64,2026-09-20T14:28:51+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,8388608,,ok,,,,4,0.0,17,6.3,0.15136180100186417,0.1507021120050922,"[0.1507021120050922, 0.14903178199892864, 0.15435150900157169]",0.0027205267918197214,-0.2857097387313843,1
209715200,4dc21b03b5e6a8c899a52bd588c0d5de027631392a9d253654c00cb16bdb9dc0,2f8b1b9c99f98e2f9bba804a46afb981d61960d0ee2300e3743994df18d75397,0.19190011599857826,first execution after this circuit's gate tensors were materialized; the Python process and CUDA context have already been initialized,-0.28570955464415526,not_applicable: direct gate schedule; no compiler/transpiler,cpu:complex128,4,,0.252004305999435,0.2533791050009313,-0.28570955464415526,,cpu,random_matching,0.0006192390064825304,0.19473684210526315,37,27.643856189774723,24.0,12,"{""cx"": 40, ""ry"": 80, ""rz"": 80}",160,200,40,20,,complex128,12,12.0,0.0,4dc21b03b5e6a8c899a52bd588c0d5de027631392a9d253654c00cb16bdb9dc0:cpu:complex128,2026-09-20T14:28:53+00:00,3,,"prepared dense-statevector execution: allocate a fresh |0...0> state, apply the materialized gate schedule, and evaluate <Z_0>; excludes schedule construction, gate materialization, compiler/transpiler and sampling",not_applicable: exact statevector and <Z_0> expectation only,torch_dense_statevector_v2,17,torch_dense_statevector_reference,v2_structural_extension,16777216,,ok,,,,4,0.0,17,6.3,0.19144889233333137,0.1920435889987857,"[0.19863179300591582, 0.18367129499529256, 0.1920435889987857]",0.007497957940292316,-0.28570955464415526,1
