sample_index,source_device,circuit_name,qasm_path,target_column,target_time_taken,target_semantics
0,osaka,qpeinexact_indep_qiskit_110,data/quantum_circuits/qpeinexact_indep_qiskit_110.qasm,time_taken,8.546002119,Ma-Li upstream time_taken; device-labelled run
1,osaka,random_indep_qiskit_55,data/quantum_circuits/random_indep_qiskit_55.qasm,time_taken,9.788742221,Ma-Li upstream time_taken; device-labelled run
2,osaka,su2random_indep_qiskit_77,data/quantum_circuits/su2random_indep_qiskit_77.qasm,time_taken,8.893606708666667,Ma-Li upstream time_taken; device-labelled run
3,osaka,su2random_indep_qiskit_63,data/quantum_circuits/su2random_indep_qiskit_63.qasm,time_taken,6.542463093666666,Ma-Li upstream time_taken; device-labelled run
4,osaka,qnn_indep_qiskit_48,data/quantum_circuits/qnn_indep_qiskit_48.qasm,time_taken,3.769855553,Ma-Li upstream time_taken; device-labelled run
5,osaka,qftentangled_indep_qiskit_126,data/quantum_circuits/qftentangled_indep_qiskit_126.qasm,time_taken,9.979778760666669,Ma-Li upstream time_taken; device-labelled run
6,osaka,qftentangled_indep_qiskit_127,data/quantum_circuits/qftentangled_indep_qiskit_127.qasm,time_taken,10.662950817333334,Ma-Li upstream time_taken; device-labelled run
7,osaka,qnn_indep_qiskit_49,data/quantum_circuits/qnn_indep_qiskit_49.qasm,time_taken,3.107238810333333,Ma-Li upstream time_taken; device-labelled run
8,osaka,su2random_indep_qiskit_62,data/quantum_circuits/su2random_indep_qiskit_62.qasm,time_taken,5.9174102243333335,Ma-Li upstream time_taken; device-labelled run
9,osaka,su2random_indep_qiskit_76,data/quantum_circuits/su2random_indep_qiskit_76.qasm,time_taken,8.171713409,Ma-Li upstream time_taken; device-labelled run
10,osaka,random_indep_qiskit_54,data/quantum_circuits/random_indep_qiskit_54.qasm,time_taken,9.140565505333331,Ma-Li upstream time_taken; device-labelled run
11,osaka,qpeinexact_indep_qiskit_111,data/quantum_circuits/qpeinexact_indep_qiskit_111.qasm,time_taken,8.701780038333332,Ma-Li upstream time_taken; device-labelled run
12,osaka,qpeinexact_indep_qiskit_107,data/quantum_circuits/qpeinexact_indep_qiskit_107.qasm,time_taken,8.195942429666667,Ma-Li upstream time_taken; device-labelled run
13,osaka,qpeinexact_indep_qiskit_113,data/quantum_circuits/qpeinexact_indep_qiskit_113.qasm,time_taken,9.691005219666666,Ma-Li upstream time_taken; device-labelled run
14,osaka,random_indep_qiskit_56,data/quantum_circuits/random_indep_qiskit_56.qasm,time_taken,9.999792457333331,Ma-Li upstream time_taken; device-labelled run
15,osaka,su2random_indep_qiskit_60,data/quantum_circuits/su2random_indep_qiskit_60.qasm,time_taken,6.074636242,Ma-Li upstream time_taken; device-labelled run
16,osaka,su2random_indep_qiskit_74,data/quantum_circuits/su2random_indep_qiskit_74.qasm,time_taken,8.061476373333335,Ma-Li upstream time_taken; device-labelled run
17,osaka,qftentangled_indep_qiskit_125,data/quantum_circuits/qftentangled_indep_qiskit_125.qasm,time_taken,9.180498178666666,Ma-Li upstream time_taken; device-labelled run
